번호	학생번호	강의번호	수강시작일	수강종료일	신청일	결제일	결제금액	상태
1	1	AA1-04	2022-08-06	2022-09-05	2022-08-06	2022-08-06	52000	수강중
2	9	AA2-01	2022-08-27	2023-08-27	2022-08-27			신청
3	4	AA3-05	2022-02-23	2024-02-23	2022-02-23	2022-02-23	70000	수강중
4	28	AB2-03	2022-02-23	2022-03-02	2022-02-23	2022-02-23	45000	수강완료
5	1	AA2-03	2022-03-15	2022-04-08	2022-03-15	2022-03-16	50000	수강완료
6	8	AA3-05	2022-03-18	2024-03-17	2022-03-18	2022-03-20	70000	수강완료
7	2	AC2-04	2022-03-20	2022-05-19	2022-03-20	2022-03-23	30000	수강완료
8	12	AC1-02	2022-03-25	2024-03-24	2022-03-25	2022-03-25	56000	수강중
9	17	BB1-02	2022-03-27	2023-03-27	2022-03-27	2022-03-27	36000	수강중
10	1	AD2-01	2022-04-01	2022-05-01	2022-04-01			신청
11	3	BA3-04	2022-07-25	2022-09-23	2022-07-25	2022-07-25	98000	수강중
12	7	BB3-02	2022-07-13	2022-10-11	2022-07-13	2022-07-15	60000	수강중
13	13	AB3-05	2022-04-30	2022-05-30	2022-04-30	2022-05-02	75000	수강완료
14	1	BA1-05	2022-08-29	2024-08-28	2022-08-29	2022-08-29	56000	수강중
15	10	AA2-01	2022-08-10	2023-08-10	2022-08-10	2022-08-11	80000	수강중
16	25	AB3-02	2022-08-23	2022-09-07	2022-08-23	2022-08-23	63000	수강중
17	1	BB3-02	2022-06-23	2022-09-21	2022-06-23	2022-06-23	60000	수강중
18	23	BB3-01	2022-05-23	2022-07-22	2022-05-23	2022-05-23	30000	수강완료
19	1	AC1-05	2022-07-26	2022-09-24	2022-07-26	2022-07-26	80000	수강중
20	15	BA2-01	2022-06-03	2022-08-02	2022-06-03			신청
21	1	BB3-05	2022-06-08	2022-08-07	2022-06-08			신청
22	1	BB1-05	2022-08-13	2023-08-13	2022-08-13	2022-08-13	56000	수강중
