번호	강사번호	교재번호	강의명	수강일	금액
AA1-01	A001	AA101,AA102,AA103	고1 초특강 현대문학	60	60000
AA1-02	A002	AA103,AA105	고1 초특강 고전 산문, 어서 오고!	25	75000
AA1-03	A001	AA102	10CUT 고전소설	10	62000
AA1-04	A003	AA104,AA105	5일만에 끝내버려 문학마스터!	30	52000
AA1-05	A002	AA102	2주만에 국어 미리보기	14	62000
AA2-01	A003	AA201,AA202,AA203	고2 초특강 현대문학	365	80000
AA2-02	A001	AA204	2023 새로운 기출 분석	1095	200000
AA2-03	A003	AA201,AA203,AA204	오늘도 맑음 내신특보	24	50000
AA2-04	A002	AA202,AA203	2023 새로운 개출 분석 문학	90	61000
AA2-05	A003	AA203,AA204,AA205	개념의 나비효과 워크북	30	43000
AA3-01	A001	AA301,AA302	수능 국어의 본질을 이해하다	236	70000
AA3-02	A001	AA303,AA304,AA305,AA306	오늘도 맑음 내신특보	223	95000
AA3-03	A001	AA301,AA302,AA303,AA304	수능 개념의 나비효과 입문편	32	105000
AA3-04	A001	AA302,AA304,AA305	수능 국어의 본질을 체화하다	365	150000
AA3-05	A001	AA304,AA305,AA306,AA307	고3 초특강 현대문학	730	70000
AB1-01	A002	AB101	책 읽기 생초보 특강	120	65000
AB1-02	A001	AB101,AB102,AB103	독서와 지적 호기심	365	45000
AB1-03	A001	AB101,AB103	쉽게 하는 독서	1095	350000
AB1-04	A002	AB104	함께하는 고1 독서 연습	60	40000
AB1-05	A001	AB102,AB103,AB104,AB105	국어 만점에 꼭 필요한 독해법	360	15000
AB2-01	A003	AB201,AB202,AB204	독서 능력 확장 연습	30	60000
AB2-02	A003	AB203,AB204,AB205	독서 활동을 위한 학과별 추천 도서	16	90000
AB2-03	A003	AB201,AB202,AB203	누구나 쉽게 할 수 있는 고2 독서	7	45000
AB2-04	A003	AB205	국어와 절친되기	20	98000
AB2-05	A001	AB201,AB203,AB205,AB206	독서는 모든 공부의 만능 열쇠다	365	155000
AB3-01	A003	AB301,AB302	[교과서 시험직전 요약] 국어	10	75000
AB3-02	A003	AB303,AB305	2023 고난도 독서	15	63000
AB3-03	A003	AB301,AB305	[2023 내신만점 수능특강] 독서	17	15000
AB3-04	A001	AB301	수능 국어의 절대 명령	365	89000
AB3-05	A003	AB307	책과 친해지기	30	75000
AC1-01	A003	AC101	화법과 작문-복합 지문	16	62000
AC1-02	A001	AC105	작문-글쓰기	730	56000
AC1-03	A002	AC102,AC103,AC104,AC105	화작 통합, 작문	30	29000
AC1-04	A003	AC101,AB102,AC103	기출 분석과 교재 학습 방향	25	70000
AC1-05	A002	AC102,AC105,AC106	작문, 화법, 화작 통합	60	80000
