번호	교재코드	교재명	판매가
1	AA101	2022 자이스토리 수능 국어 문학 기본	9000
2	AA102	중3 고1 비문학독해연습	12000
3	AA103	2022 full 수록 고1 기출문제집 기본문학	9500
4	AA104	유형플러스 씨뮬 전국연합학력평가 기출문제집 고1 국어 문학	9000
5	AA105	2022 마더텅 전국연합 학력평가 기출문제집 고1 국어 문학	10000
6	AA106	문학 비책	18500
7	AA107	수능개념 국어 김기훈의 절대감각 문학	8000
8	AA108	혜원국어 신의 한 수 문학편	15300
9	AA201	고2 문학 기출스토리	10000
10	AA202	2022 마더텅 전국연합 학력평가 기출문제집 고2 국어 문학	15720
11	AA203	버블티 고2 문학 교과서 작품편 1권 비상	7920
12	AA204	버블티 고2 문학 교과서 작품편 1권 미래엔	15000
13	AA205	버블티 고2 문학 교과서 작품편 1권 신사고	12600
14	AA206	상상내공 EBS 수능특강 평가문제짐 문학(상)	16200
15	AA207	매3문 매일 지문 3개씩 푸는 문학 수능 기출	16000
16	AA208	한권에 잡히는 고전문학	16200
17	AA301	2023학년도 수능 연계교재 수능특강 국어영역 문학	13000
18	AA302	유형플러스 씨뮬 수능 기출 문제집 고3 국어 문학	16000
19	AA303	메가스터디 수능 기출 분석서 6주 완성 문학	10800
20	AA304	2023 예비 고3을 위한 3주 완성 수능기출 국어문학 300제	9900
21	AA305	해법문학 수필 및 극	12600
22	AA306	EBS 수능특강 연계 문학작품 연계 기출1	12150
23	AA307	피램 고등 국어 문학 생각의 전개	33000
24	AA308	고등 문학 개념어 몽땅벗기기	10350
25	AB101	2022 마더텅 전국연합 학력평가 기출문제집 고1 국어 독서	19800
26	AB102	2022 자이스토리 수능 국어 독서 기본	10800
27	AB103	2022 full 수록 고1 기출문제집 기본독서	13500
28	AB104	유형플러스 씨뮬 전국연합학력평가 기출문제집 고1 국어 독서	12150
29	AB105	2022 100발 100중 전국연합 학력평가 기출 및 변형문제집 고1 국어 독서	10800
30	AB106	EBSi 강의교재 고난도 독서 김철회의 난공불락 독서 격파 시즌1	7500
31	AB107	EBS 수능특강 고등 국어영역 독서	8600
32	AB108	피램 고등 국어 생각의 전개 독서	22320
33	AB201	2022 마더텅 전국연합 학력평가 기출문제집 고2 국어 독서	16420
34	AB202	유형플러스 씨뮬 전국연합학력평가 기출문제집 고2 국어 독서	12000
35	AB203	2022 100발 100중 전국연합 학력평가 기출 및 변형문제집 고2 국어 독서	12150
36	AB204	메가스터디 고2 비문학독서 230제	10800
37	AB205	메가스터디 N제 고2 비문학독서 230제	9900
38	AB206	메가스터디 EBS 수능특강 변형 국어 독서 110제	10800
39	AB207	피램 수능 국어 생각의 전개 독서 2	22320
40	AB208	메가스터디 N제 국어영역 독서 215제	15300
41	AB301	고3~N수 수능독서 배경지식	12600
42	AB302	유형플러스 씨뮬 수능 기출 문제집 고3 국어 독서	17820
43	AB303	2023 수능대비 예비 고3을 위한 3주 완성 수능기출 국어독서 300제	16850
44	AB304	15분 모의고사 국어 독서 (2022년용)	14250
45	AB305	2023 마더텅 수능기출문제집 국어 독서	19200
46	AB306	상상국어N제 수능 출제자가 만든 독서	20000
47	AB307	최단기 국어 1등급 만들기 비문학 독서	17100
48	AB308	EBS 수능특강 국어영역 독서	8200
49	AC101	핵심체크 고1 유형별 화법 및 작문 및 문법 172제 (2016년)	14400
50	AC102	예비 고1 유형별 문법 및 화법 및 작문 고1 국어영역 (2016년)	15000
51	AC103	531 프로젝트 PROJECT 문법·화법·작문 개념을 빠르게 S (2018년용)	10000
52	AC104	쓱싹 화법과 작문 고등 (2020)	11700
53	AC105	수능 기출의 바이블 국어 화법과 작문 (2021)	14850
54	AC106	EBS 수능특강 국어영역 화법과 작문	6660
55	AC107	수능백전백승 EBS 완벽분석 최종점검 화법과 작문	8100
56	AC108	EBS 수능특강 국어영역 화법.작문.언어	7700
57	AC201	자이스토리 수능 국어 문법 실전+화법 작문 실전 (2021)	12600
58	AC202	수능전략 국어영역 화법과 작문 (2022)	13500
59	AC203	지금필수 고등 국어영역 화법과 작문 (2021)	9900
60	AC204	밥 먹듯이 매일매일 화법과 작문 (2022)(2023 수능대비)	13500
61	AC205	섹션뽀개기 실전편 화법과 작문 (2022)	11700
62	AC206	종로 수능대비 화법 작문 문법	26000
63	AC207	작문과 화법	15000
64	AC208	EBSi 강의교재 수능개념 국어 변아영의 개념 쏙쏙 기출 탁.화.작.문	6000
65	AC301	리얼 오리지널 수능기출 선택과목 25회 모의고사-고3 화법과 작문 (2021)	7920
66	AC302	10분 FIT 모의고사 화법과 작문 (2021)(2022 수능대비)	13500
67	AC303	FULL 수록 수능기출문제집-국어 화법과 작문 (2022)(2023 수능대비)	8550
68	AC304	일단락 국어 화법과 작문 (2020)	11700
69	AC305	홀수 국어 기출 훈련도구-화법과 작문 (2021)	10800
70	AC306	EBS 수능 기출의 미래 국어영역 언어(문법) 화법 작문	17000
71	AC307	K 화법.작문.문법	26000
72	AC308	고단백 수능 단기특강 고등 국어영역 화법과 작문	9000
73	AD101	10분 FIT 모의고사 언어와 매체 (2022)(2023 수능대비)	14400
74	AD102	15분 모의고사 국어 언어와 매체	11700
75	AD103	수능주도권 국어영역 언어와 매체 (2021)	12600
76	AD104	홀수 국어 기출 훈련도구-언어와 매체 (2021)	10800
77	AD105	EBS 올림포스 언어와 매체 (2020)	10350
78	AD201	수능전략 국어영역 언어와 매체 (2022)	13500
79	AD202	수능 기출의 바이블 국어 언어와 매체 (2021)	14850
80	AD203	밥 먹듯이 매일매일 언어와 매체 (2022)(2023 수능대비)	14850
81	AD204	섹션뽀개기 실전편 언어와 매체 (2022)	11700
82	AD205	나기출 나 없이 기출 풀지 마라 언어와 매체(문제+해설) (2021)	14310
83	AD301	리얼 오리지널 수능기출 선택과목 25회 모의고사-고3 언어와 매체 (2021)	7920
84	AD302	매일 개념 3개씩 공부하는 언어와 매체 수능 기출 (2021)(매3문법)	12600
85	AD303	상상국어 N제-언어와 매체 (2022)(2023 수능 대비)	13500
86	AD304	능률 EBS 수능특강 변형 문 192제-언어와 매체 (2021)	15300
87	AD305	피램 국어 생각의 발단-언어와 매체편 (2022)	23400
88	BA101	예비 고1 쉬운 수학1 2점짜리+3점짜리 (2016)	10800
89	BA102	쉽게풀자 용기100배 수학영역 수학1 고1 새교육과정 (2014)	10000
90	BA103	핵심체크 고1 단원별 수학1 300제 (2016)	8000
91	BA104	메가스터디 빅데이터 첫 기출 문제집 고1 수학영역 수학1(2016)	12420
92	BA105	예비 고1 어려운 수학1 4점짜리(2016)	10800
93	BA106	EBS 수능특강 수학영역 수학1	5040
94	BA107	EBS 올림포스 수학1	5850
95	BA108	종로교재 수학 영역 수학1	25200
96	BA201	자이스토리 고2 수학1(2020)-강남구청 인터넷 수능방송 강의교재	14220
97	BA202	마더텅 전국연합 학력평가 기출 20분 미니모의고사 24회 고2 수학1(2022)	8910
98	BA203	마더텅 전국연합 학력평가 기출문제집-고2 수학1(2022)	14310
99	BA204	수학의 샘-수학1(2019년 고2용)	17100
100	BA205	자이스토리 고2 수학 1 1001제(2019)	13950
101	BA206	한완수 고등 수학1 (상)	27900
102	BA207	한완수 고등 수학1 (중)	27900
103	BA208	한완수 고등 수학1 (하)	27900
104	BA301	씨뮬 10TH 수능기출 최신 1년간 모의고사-고3 수학(2022)(2023 수능대비)	14400
105	BA302	자이스토리 고3 수학 1(2021)	16200
106	BA303	2023 수능대비 자이스토리 고3 수학 1(2022)	17100
107	BA304	올필 1개년 모의고사모음집-고3 수학 A(2014)	9000
108	BA305	고등 수학영역 고3 전국연합 3개년 18회 모의고사(2021)(TOP CLASS)	17100
109	BA306	마플시너지 고등수학 1	19800
110	BA307	수력충전 고등 수학 1	11250
111	BA308	규토 라이트 N제 고등 수학1	29700
112	BB101	핵심체크 고1 단원별 수학2 300제(2016)	8000
113	BB102	쉽게풀자 용기100배 수학영역 수학2 고1 새교육과정(2014)	10000
114	BB103	자이스토리 고1 수학2 929제(2017)	12740
115	BB104	메가스터디 고1 수학2 400제(2016)	12000
116	BB105	자이스토리 고1 수학2 932제(2016)	11700
117	BB106	EBS 수능 특강 고등 수학영역 수학2	5200
118	BB107	신사고 쎈 고등 수학2	14000
119	BB108	EBS 수능특강 Q 미니모의고사 고등 수학영역 수학2	3300
120	BB201	자이스토리 고2 수학2(2022)	15300
121	BB202	마더텅 수능기출 전국연합 학력평가 20분 미니모의고사 24회 고2 수학2(2022)	8910
122	BB203	마더텅 전국연합 학력평가 기출문제집-고2 수학2(2022)	14310
123	BB204	마더텅 전국연합 학력평가 기출문제집-고2 수학2(2021)	13410
124	BB205	너기출 새교육과정 수학 2-고2(2015 교육과정)(2019)	10800
125	BB206	수력충전 고등 수학 2	10800
126	BB207	기출의 파급효과 고등 수학2	21510
127	BB208	랑데부 N제 쉬사준킬 고등 수학2	19800
128	BB301	2023 수능대비 자이스토리 고3 수학2(2022)	17100
129	BB302	자이스토리 고3 수학 2 885제(2017)	13650
130	BB303	자이스토리 고3 수학 2(2021)	15750
131	BB304	마더텅 수능기출문제집 고등 수학2(2022)(2023 대비)	16110
132	BB305	월별모의고사족보 대학수학능력시험-고3 수학(B형)(2015 대비)	9000
133	BB306	EBS 단기특강 고등 수학2	4500
134	BB307	EBS 수능감잡기 고등 수학영역 수학2	4950
135	BB308	수학중심 고등 수학2	14400
136	BC101	EBS 올림포스 미적분(2018년 고1용)	7200
137	BC102	EBS 올림포스 닥터링 미적분(2018년 고1용)	9000
138	BC103	미적분으로 바라본 하루:일상 속 어디에나 있는 수학 찾기	13500
