번호	학생번호	교재번호	결제일
1	1	AA102	2022-07-31
2	9	EA206	2022-06-22
3	7	CC102	2022-05-13
4	1	BA105	2022-08-03
5	1	BB203	2022-07-30
6	1	AC202	2022-08-08
7	11	DB207	2022-03-23
8	4	HB207	2022-01-03
9	5	EC104	2022-06-12
10	8	GB208	2022-04-24
11	1	AA103	2022-08-28
12	8	EB303	2022-03-03
13	4	HB202	2022-05-05
14	7	AC202	2022-05-15
15	1	CB302	2022-08-06
16	7	FC307	2022-05-17
17	16	FB201	2022-08-13
18	7	DB301	2022-05-14
19	2	FB201	2022-08-30
20	7	AA102	2022-06-12
21	5	EA305	2022-02-22
22	5	CC103	2022-02-24
23	17	GB204	2022-04-16
24	3	EC103	2022-08-30
25	9	BB203	2022-06-22
26	2	DB207	2022-08-30
27	1	DB204	2022-08-26
28	5	AC305	2022-02-23
29	1	FB201	2022-07-30
30	22	CB303	2022-06-18
31	20	GB203	2022-02-20
32	16	GC104	2022-08-19
33	5	GB208	2022-02-21
