번호	문제	보기1	보기2	보기3	보기4	답
A-1	아라비아 지역에서 재배되기 시작한 커피가 최초로 전파된 유럽의 도시는 어디인가?	파리	베니스	런던	비엔나	2
A-2	건식법(Dry processing)으로 생산된 생두를 창고를 열어 계절풍을 쐬어 가공한 커피로 신맛은 적고 입에서의 느낌이 묵직하고 독특한 향을 느낄 수 있는 인도산 커피는?	Old coffee	Aged coffee	Monsooned coffee	Organic coffee	3
A-3	커피 열매 성숙의 마지막 단계에서 나타나는 현상은?	엽록소 증가	색소 합성	페놀릭(Phenolic) 합성물 증가	아로마의 주성분인 방향 물질 감소	2
A-4	커피나무가 이 병에 걸리면 수확량이 감소하고 성장이 방해되어 나무가 죽을 수 있으며, 현재까지 알려진 커피 질병 중 패해가 가장 큰 것으로 보고되고 있다. 이에 관련되는 질병은 아래의 어느 것인가?	Coffee Berry Disease	Coffee Leaf Rust	Coffee Ringspot Virus	offee Wilt Disease	2
A-5	습식법(Wet processing)의 공정 순서가 바른 것은?	수확→분리→과육제거→발효→건조→세척→탈곡→선별→포장→보관	수확→분리→과육제거→건조→발효→세척→탈곡→선별→포장→보관	수확→분리→과육제거→세척→발효→건조→탈곡→선별→포장→보관	수확→분리→과육제거→발효→세척→건조→탈곡→선별→포장→보관	4
A-6	커피의 스크린 사이즈별 명칭을 큰 순서대로 나열한 것을 고르시오.	Very Large >Extra Large >Bold >Good Bean	Extra Large >Very Large >Bold >Good Bean	Very Large >Extra Large >Good >Bold Bean	Extra Large >Very Large >Good >Bold Bean	1
A-7	다음 중 ( )에 올바르게 설명된 것을 고르시오.	350, 5, 200 ,0	350, 5, 100, 0	300, 5, 100, 1	300, 8, 100, 1	2
A-8	우유를 40°C 이상으로 가열할 때 생성되는 얇은 피막의 주성분은 무엇인가?	카세인	베타-락토글로불린	알파-락트알부민	칼슘	2
A-9	Ochratoxin(오크라톡신) A에 대한 설명 중 옳은 것은?	곰팡이 독소의 종류이다.	단백질의 일종이다.	무기질의 종류이다.	유산균의 일종이다.	1
A-10	커피전문점의 경영차원에서 ‘해피 아워(Happy hour)’를 올바르게 설명한 것은?	사은 특별행사	여흥의 시간대	가격할인 시간대	영업시간 이외의 시간대	3
A-11	로스팅 후 원두에서 가장 많이 발생하는 가스는?	질소(N2)	이산화탄소(CO2)	산소(O2)	일산화탄소(CO)	2
A-12	다음 중 로스팅에 의해 가장 많이 소멸되는 생두의 성분은?	단백질	카페인	수분	지방	3
