성적번호	문제번호	선택한 답
1	A-3	2
1	A-1	3
1	A-38	4
1	A-22	3
1	A-40	4
1	A-18	1
1	A-8	2
1	A-31	3
1	A-25	1
1	A-29	1
2	B-19	4
2	B-10	1
2	B-8	3
2	B-32	2
2	B-1	3
2	B-14	2
2	B-9	1
2	B-27	3
2	B-26	1
2	B-40	2
3	A-3	2
3	A-19	4
3	A-28	1
3	A-31	1
3	A-6	3
3	A-40	1
3	A-22	3
3	A-33	4
3	A-10	3
3	A-20	2
4	B-19	2
4	B-29	4
4	B-9	3
4	B-40	2
4	B-15	3
4	B-16	1
4	B-2	2
4	B-20	3
4	B-8	1
4	B-18	2
5	C-4	1
5	C-40	1
5	C-19	3
5	C-25	1
5	C-37	2
5	C-35	2
5	C-2	3
5	C-1	1
5	C-22	4
5	C-34	2
6	C-4	1
6	C-40	4
6	C-19	2
6	C-25	2
6	C-37	2
6	C-35	4
6	C-2	4
6	C-1	3
6	C-22	1
6	C-34	4
7	C-4	2
7	C-40	4
7	C-19	1
7	C-25	3
7	C-37	2
7	C-35	1
7	C-2	4
7	C-1	3
7	C-22	2
7	C-34	1
8	B-19	1
8	B-29	4
8	B-9	2
8	B-40	3
8	B-15	4
8	B-16	1
8	B-2	3
8	B-20	2
8	B-8	1
8	B-18	4
9	A-40	3
9	A-1	2
9	A-24	3
9	A-14	1
9	A-8	3
9	A-34	1
9	A-21	1
9	A-39	1
9	A-11	2
9	A-19	4
10	A-1	2
10	A-2	3
10	A-3	2
10	A-40	1
10	A-5	4
10	A-14	1
10	A-26	3
10	A-24	4
10	A-32	4
10	A-29	2
11	B-19	3
11	B-22	3
11	B-1	2
11	B-28	1
11	B-40	2
11	B-13	1
11	B-39	2
11	B-23	2
11	B-17	4
11	B-14	4
12	B-19	3
12	B-29	3
12	B-9	2
12	B-40	2
12	B-15	3
12	B-16	4
12	B-2	4
12	B-20	4
12	B-8	1
12	B-18	3
13	C-1	3
13	C-25	1
13	C-14	3
13	C-31	2
13	C-16	2
13	C-38	4
13	C-27	1
13	C-5	1
13	C-9	4
13	C-29	3
14	A-1	2
14	A-35	1
14	A-23	4
14	A-21	1
14	A-40	1
14	A-36	2
14	A-12	3
14	A-16	4
14	A-3	2
14	A-37	3
15	A-9	3
15	A-7	2
15	A-37	1
15	A-10	1
15	A-14	4
15	A-27	2
15	A-4	1
15	A-16	3
15	A-24	2
15	A-38	1
16	A-18	3
16	A-20	2
16	A-7	2
16	A-27	2
16	A-31	1
16	A-11	2
16	A-3	3
16	A-10	3
16	A-4	2
16	A-25	4
17	A-9	3
17	A-7	1
17	A-37	4
17	A-10	3
17	A-14	4
17	A-27	4
17	A-4	1
17	A-16	2
17	A-24	3
17	A-38	1
18	B-1	2
18	B-11	2
18	B-2	2
18	B-22	4
18	B-39	1
18	B-33	4
18	B-3	1
18	B-40	2
18	B-4	1
18	B-19	2
19	B-9	1
19	B-23	3
19	B-21	3
19	B-20	3
19	B-14	3
19	B-34	2
19	B-40	2
19	B-1	1
19	B-2	2
19	B-10	4
20	B-10	3
20	B-2	1
20	B-1	2
20	B-39	4
20	B-34	4
20	B-14	3
20	B-20	3
20	B-33	1
20	B-23	3
20	B-11	1
21	B-1	1
21	B-2	3
21	B-3	1
21	B-4	3
21	B-5	1
21	B-6	2
21	B-7	1
21	B-8	2
21	B-9	1
21	B-10	4
22	B-19	3
22	B-20	3
22	B-21	4
22	B-22	4
22	B-23	3
22	B-24	2
22	B-25	3
22	B-7	4
22	B-2	1
22	B-30	2
23	C-9	4
23	C-8	3
23	C-5	3
23	C-2	1
23	C-14	4
23	C-18	3
23	C-29	3
23	C-23	4
23	C-30	4
23	C-34	1
24	C-33	1
24	C-22	2
24	C-11	3
24	C-1	2
24	C-40	4
24	C-29	3
24	C-15	3
24	C-25	1
24	C-26	4
24	C-4	1
25	C-1	3
25	C-2	4
25	C-3	2
25	C-4	2
25	C-5	3
25	C-6	1
25	C-7	2
25	C-8	3
25	C-9	4
25	C-10	3
26	C-1	3
26	C-2	4
26	C-3	2
26	C-4	2
26	C-5	3
26	C-6	1
26	C-7	2
26	C-8	3
26	C-9	4
26	C-10	3
27	C-1	3
27	C-2	4
27	C-3	2
27	C-4	2
27	C-5	1
27	C-6	1
27	C-7	2
27	C-8	3
27	C-9	4
27	C-10	3
28	C-19	1
28	C-4	1
28	C-29	3
28	C-14	4
28	C-1	3
28	C-26	4
28	C-16	3
28	C-30	4
28	C-38	4
28	C-18	1
29	B-7	2
29	B-1	2
29	B-9	1
29	B-10	3
29	B-19	3
29	B-20	1
29	B-32	4
29	B-22	1
29	B-23	4
29	B-24	2
30	A-7	2
30	A-35	2
30	A-27	2
30	A-3	2
30	A-20	2
30	A-21	1
30	A-29	2
30	A-14	4
30	A-8	3
30	A-1	3
31	B-9	1
31	B-8	2
31	B-7	3
31	B-19	3
31	B-18	2
31	B-17	1
31	B-16	4
31	B-20	4
31	B-30	2
31	B-40	2
32	B-14	3
32	B-18	2
32	B-2	1
32	B-29	2
32	B-24	3
32	B-37	2
32	B-34	1
32	B-11	3
32	B-28	2
32	B-5	4
33	A-1	2
33	A-35	1
33	A-23	4
33	A-21	3
33	A-40	3
33	A-36	2
33	A-12	3
33	A-16	4
33	A-3	2
33	A-37	3
34	C-4	1
34	C-40	3
34	C-19	1
34	C-25	1
34	C-37	1
34	C-35	3
34	C-2	4
34	C-1	3
34	C-22	3
34	C-34	2
35	C-4	1
35	C-40	4
35	C-19	1
35	C-25	3
35	C-37	1
35	C-35	2
35	C-2	4
35	C-1	3
35	C-22	2
35	C-34	1
36	A-9	1
36	A-7	2
36	A-37	2
36	A-10	1
36	A-14	1
36	A-27	1
36	A-4	2
36	A-16	4
36	A-24	4
36	A-38	4
37	B-9	1
37	B-10	4
37	B-24	1
37	B-32	2
37	B-29	4
37	B-14	3
37	B-8	2
37	B-4	4
37	B-2	2
37	B-38	3
