구분	성별	선생님 친절도	선생님 교육상태	열정	응대	관리상태	문제출제	만족도	타인 권유 여부
응답자1	남자	1	4	2	5	1	3	1	2
응답자2	남자	3	1	4	1	4	5	1	4
응답자3	남자	2	5	3	4	3	5	1	4
응답자4	남자	4	1	4	3	4	2	4	1
응답자5	여자	1	3	3	5	2	4	3	1
응답자6	여자	4	1	5	3	3	4	3	3
응답자7	여자	2	5	1	2	4	1	4	2
응답자8	여자	2	4	1	1	1	1	4	4
응답자9	여자	4	4	3	4	4	3	4	5
응답자10	남자	5	4	2	5	3	4	2	1
응답자11	남자	5	1	2	4	1	2	5	1
응답자12	여자	3	3	5	1	1	1	2	3
응답자13	여자	5	1	2	2	5	2	1	3
응답자14	남자	3	3	5	4	1	3	1	1
응답자15	여자	5	3	4	5	3	1	1	2
응답자16	남자	5	2	5	3	4	2	5	5
응답자17	여자	3	1	5	1	2	2	3	4
응답자18	남자	1	2	3	3	3	2	2	5
응답자19	남자	4	4	1	1	4	3	1	2
응답자20	남자	1	2	5	4	2	4	1	4
응답자21	남자	5	1	2	2	1	2	5	4
응답자22	남자	4	2	4	1	4	1	4	4
응답자23	남자	2	2	4	1	5	1	5	5
응답자24	남자	2	2	2	3	4	5	5	2
응답자25	여자	5	1	2	4	2	3	1	3
응답자26	여자	1	2	2	1	1	3	1	2
응답자27	남자	5	3	5	3	2	2	5	3
응답자28	남자	4	3	1	5	2	4	2	1
응답자29	여자	4	1	4	3	5	2	2	1
응답자30	여자	4	1	2	5	1	2	4	3
응답자31	여자	3	1	2	3	5	3	3	5
응답자32	남자	1	3	1	1	1	2	2	4
응답자33	남자	3	4	2	4	2	5	4	4
응답자34	남자	5	4	1	5	1	3	4	1
응답자35	남자	4	3	5	1	2	5	3	1
응답자36	여자	2	2	3	3	2	1	3	5
응답자37	여자	2	2	1	2	5	5	1	2
응답자38	남자	3	1	3	3	3	3	1	5
응답자39	여자	4	2	4	3	1	4	3	3
응답자40	여자	5	2	3	5	5	3	2	5
응답자41	여자	1	5	5	2	1	5	4	4
응답자42	여자	3	1	3	2	3	2	2	4
응답자43	남자	5	4	2	1	2	4	2	3
응답자44	남자	1	4	4	4	4	2	3	2
응답자45	남자	4	1	3	3	2	4	2	2
응답자46	여자	4	1	5	4	5	5	2	1
응답자47	여자	2	1	5	2	1	2	4	3
응답자48	남자	1	4	3	2	3	5	5	3
응답자49	여자	4	1	5	4	5	3	4	3
응답자50	남자	3	3	2	4	1	5	4	3
응답자51	남자	5	4	4	1	5	3	2	1
응답자52	남자	1	3	5	5	5	2	4	3
응답자53	남자	5	1	4	5	4	5	3	5
응답자54	여자	1	2	5	4	5	2	1	5
응답자55	여자	5	4	1	1	4	4	1	2
응답자56	여자	2	4	5	5	3	2	2	3
응답자57	여자	4	1	4	1	1	4	5	5
응답자58	남자	3	2	5	2	2	5	3	1
응답자59	남자	5	5	1	1	2	5	4	5
응답자60	남자	1	4	2	1	1	3	3	1
응답자61	남자	2	2	1	3	1	1	4	2
응답자62	여자	3	2	5	3	4	4	2	3
응답자63	남자	5	5	2	5	1	3	1	4
응답자64	남자	5	1	1	4	2	4	5	2
응답자65	여자	1	3	4	5	5	4	5	3
응답자66	여자	1	4	1	3	3	4	4	1
응답자67	여자	2	4	3	4	4	4	5	5
응답자68	여자	3	4	3	1	1	2	1	1
응답자69	남자	1	2	4	2	5	5	1	1
응답자70	여자	1	3	4	1	2	4	5	2
응답자71	남자	3	4	1	5	3	4	1	1
응답자72	여자	1	4	1	4	1	3	1	4
응답자73	남자	2	2	5	5	3	3	2	3
응답자74	남자	4	5	3	2	2	4	2	2
응답자75	남자	4	4	5	4	4	2	3	4
응답자76	남자	5	4	4	4	1	1	5	1
응답자77	여자	3	5	2	2	3	1	5	1
응답자78	여자	2	4	4	1	2	1	3	3
응답자79	남자	1	3	5	1	5	1	2	2
응답자80	남자	4	3	2	3	5	3	5	5
응답자81	남자	4	3	5	4	2	1	5	5
응답자82	여자	5	4	3	1	1	1	3	4
응답자83	남자	4	2	3	5	3	4	1	2
응답자84	여자	2	2	5	1	1	4	2	3
응답자85	남자	5	1	4	2	4	3	4	3
응답자86	여자	4	1	2	4	4	2	2	3
응답자87	남자	2	1	1	1	1	1	1	4
응답자88	남자	1	1	3	4	3	3	5	4
응답자89	여자	4	5	5	4	5	2	2	4
응답자90	여자	5	1	4	5	2	5	2	5
응답자91	여자	2	1	5	1	1	1	4	5
응답자92	여자	5	1	4	3	4	4	5	1
응답자93	남자	1	5	3	4	4	3	2	3
응답자94	남자	3	1	1	2	2	2	1	2
응답자95	남자	4	2	3	2	3	3	5	4
응답자96	여자	1	3	4	5	1	5	3	5
응답자97	남자	1	4	5	3	2	3	1	4
응답자98	남자	1	2	5	3	4	1	2	1
응답자99	남자	2	5	3	5	5	3	4	5
응답자100	여자	5	5	1	2	4	1	1	4
