학번	날짜	경과시간	과목	점수
10101	2022-08-12	0:56:06	A	40
10101	2022-08-12	0:56:06	B	40
10102	2022-08-13	1:20:06	A	80
10103	2022-08-13	1:01:03	B	60
10101	2022-08-13	0:40:30	C	40
20104	2022-08-14	0:56:21	C	50
20105	2022-08-14	1:21:33	C	70
20106	2022-08-15	2:02:30	B	10
20107	2022-08-15	2:40:23	A	60
30106	2022-08-15	1:33:32	A	100
30110	2022-08-16	0:25:33	B	20
30203	2022-08-16	3:02:33	B	40
30208	2022-08-16	3:05:22	C	60
10101	2022-08-16	0:28:20	A	100
10107	2022-08-17	0:55:10	A	15
10205	2022-08-17	1:25:33	A	85
10210	2022-08-17	1:52:33	A	15
20102	2022-08-19	1:49:18	B	40
20105	2022-08-19	0:52:16	B	80
20110	2022-08-20	0:20:18	B	40
20203	2022-08-20	1:28:11	B	60
20206	2022-08-20	1:32:19	B	55
30104	2022-08-21	0:49:22	C	80
30109	2022-08-21	0:25:33	C	75
30202	2022-08-21	0:41:39	C	80
30208	2022-08-22	0:29:33	C	85
30210	2022-08-23	0:59:26	C	70
10101	2022-08-23	0:25:33	C	100
10102	2022-08-24	0:36:39	B	20
10103	2022-08-24	0:26:33	A	50
10107	2022-08-25	1:13:26	B	60
10108	2022-08-26	1:36:33	B	70
20202	2022-08-27	1:38:22	A	80
20203	2022-08-27	0:42:33	C	50
30202	2022-08-28	0:42:00	C	80
30203	2022-08-28	0:24:02	A	80
30204	2022-08-29	0:26:33	B	40
