학번	문제번호
10101	A-8, A-30, A-35, B-19
10102	A-1, A-17, B-5
10103	
10104	
10105	A-17, A-18, A-25, A-34, B-8, B-10
10106	A-17, A-28
10107	
10108	C-3
10109	A-18
10110	A-25, A-29, C-18
10201	A-13, A-14, A-17, A-28
10202	
10203	
10204	A-27
10205	B-15
10206	A-26, A-27, C-8
10207	A-25, 48, B-2, B-3, C-17
10208	A-19, A-28, B-19
10209	A-35 ,C-8
10210	
20101	
20102	
20103	A-16, A-26
20104	
20105	
20106	A-4, A-8, A-9, A-14, A-34, B-18, B-20
20107	A-6
20108	
20109	A-25, A-29
20110	
20201	A-18, A-24, A-35
20202	
20203	A-3, A-4, A-5, A-31, C-20
20204	
20205	A-8, A-9
20206	A-6, A-8, A-15, A-18
20207	A-4, C-28
20208	
20209	
20210	A-15, A-25, A-34, B-18
30101	B-12
30102	
30103	A-21
30104	A-2, A-34, B-2
30105	
30106	A-22, A-25, C-15
30107	
30108	
30109	A-22, A-24, A-38
30110	
30201	
30202	A-11, A-25
30203	
30204	
30205	
30206	
30207	A-25, B-2, 48, B-17, C-28
30208	
30209	A-16, A-25, A-28
30210	A-16, A-24 ,A-35
