번호	회원	매물	임대 시작일	임대 종료일	상태
1	7	132	2022-03-24		
2	20	281	2022-02-19		
3	14	428	2020-01-03		
4	16	100	2021-05-04		
5	22	116	2017-05-06		
6	3	86	2019-04-22		
7	17	276	2019-05-29		
8	3	315	2020-07-23		
9	14	466	2020-01-19		
10	19	188	2020-07-05		
11	25	317	2019-07-01		
12	20	426	2019-09-03		
13	29	275	2019-04-25		
14	30	444	2020-03-24		
15	11	348	2017-04-21		
16	15	201	2020-04-29		
17	15	138	2019-09-06		
18	15	115	2020-03-08		
19	1	61	2021-02-03		
20	14	227	2020-01-12		
21	26	303	2020-08-04		
22	20	26	2020-02-13		
23	26	80	2019-12-14		
24	3	270	2019-12-01		
25	25	430	2020-01-06		
26	9	175	2020-01-09		
27	15	260	2020-05-07		
28	1	342	2020-04-08		
29	25	162	2019-12-22		
30	9	376	2021-01-11		
31	29	45	2020-04-10		
32	22	54	2019-11-23		
33	21	234	2020-02-07		
34	1	20	2019-07-13		
35	21	386	2019-11-21		
36	14	85	2019-04-07		
37	28	111	2019-12-19		
38	7	487	2021-02-16		
39	23	452	2020-12-19		
40	16	193	2020-01-15		
41	1	328	2020-07-26		
42	10	221	2021-02-17		
43	15	305	2019-03-22		
44	18	295	2019-11-17		
45	7	435	2021-04-04		
46	25	314	2020-03-26		
47	5	189	2021-10-12		
48	17	40	2020-07-24		
49	6	360	2020-02-17		
50	19	155	2020-03-05		
51	24	1	2020-09-20		
52	11	154	2019-10-31		
53	11	459	2020-08-18		
54	16	417	2020-01-19		
55	30	278	2020-03-26		
56	9	388	2020-01-04		
57	8	380	2019-11-09		
58	2	35	2020-04-26		
59	27	499	2019-11-27		
60	11	235	2021-02-09		
61	4	82	2020-02-22		
62	19	400	2020-12-12		
63	5	182	2019-10-19		
64	2	109	2020-05-15		
65	6	268	2021-10-28		
66	22	203	2020-03-18		
67	1	463	2020-01-18		
68	9	292	2020-03-25		
69	25	395	2020-01-10		
70	18	365	2019-12-03		
71	16	450	2020-05-27		
72	18	236	2020-01-18		
73	30	213	2019-10-18		
74	5	326	2019-12-06		
75	28	94	2020-01-26		
76	16	14	2019-11-02		
77	25	456	2020-03-18		
78	24	220	2021-02-03		
79	20	467	2020-06-02		
80	15	78	2020-08-01		
81	17	97	2020-09-15		
82	30	65	2019-12-06		
83	8	243	2020-08-04		
84	18	122	2020-01-02		
85	6	166	2019-12-09		
86	22	17	2020-01-24		
87	15	19	2020-12-04		
88	24	414	2019-10-19		
89	28	62	2019-10-20		
90	4	454	2022-01-31		
91	3	354	2019-10-30		
92	18	447	2020-03-01		
93	15	369	2020-07-22		
94	22	200	2020-02-20		
95	14	57	2020-01-14		
96	13	419	2020-08-28		
97	28	72	2021-03-17		
98	13	271	2020-03-10		
99	17	63	2019-11-25		
100	26	228	2019-12-05		
101	20	174	2020-05-20		
102	12	151	2020-07-06		
103	10	186	2020-01-14		
104	20	293	2019-09-13		
105	3	112	2019-03-21		
106	24	491	2019-12-02		
107	5	113	2020-10-07		
108	10	9	2019-11-12		
109	4	358	2020-03-14		
110	2	143	2019-08-25		
111	17	246	2019-10-30		
112	21	244	2019-10-02		
113	13	167	2019-11-02		
114	6	378	2020-03-26		
115	11	486	2021-04-07		
116	25	291	2022-08-12		
117	18	265	2020-02-20		
118	12	341	2020-01-29		
119	24	475	2020-05-16		
120	2	90	2020-01-01		
121	20	42	2020-07-28		
122	24	311	2020-03-02		
123	3	464	2019-12-20		
124	20	92	2020-04-04		
125	15	500	2019-12-12		
126	21	433	2020-11-21		
127	10	261	2020-02-28		
128	9	413	2020-05-01		
129	27	289	2019-11-26		
130	24	131	2020-07-20		
131	8	374	2020-03-07		
132	4	249	2021-03-24		
133	22	150	2019-11-22		
134	22	422	2020-02-03		
135	23	50	2020-01-18		
136	6	107	2020-03-17		
137	3	141	2019-09-02		
138	28	471	2020-05-25		
139	6	76	2020-05-03		
140	26	412	2019-12-29		
141	10	103	2019-12-20		
142	24	137	2021-05-04		
143	10	130	2020-05-21		
144	16	320	2020-07-28		
145	21	123	2019-08-02		
146	28	410	2020-03-14		
147	6	6	2020-02-16		
148	17	250	2021-02-03		
149	27	179	2020-02-27		
150	20	119	2020-02-11		
151	22	124	2020-04-01		
152	14	427	2019-10-15		
153	6	322	2020-02-25		
154	1	89	2021-04-04		
155	29	59	2019-08-09		
156	14	485	2020-05-20		
157	4	333	2020-03-10		
158	22	393	2020-03-16		
159	10	23	2020-02-06		
160	30	432	2020-04-15		
161	16	368	2019-11-30		
162	16	345	2020-01-30		
163	6	334	2020-01-08		
164	14	225	2022-04-28		
165	9	407	2021-05-13		
166	22	288	2019-11-30		
167	23	350	2022-05-12		
168	17	140	2020-01-27		
169	25	285	2020-03-14		
170	6	3	2020-01-11		
171	3	363	2021-01-14		
172	4	440	2020-01-13		
173	22	478	2020-02-26		
174	5	7	2020-03-08		
175	14	237	2021-01-22		
176	14	198	2020-01-10		
177	19	21	2019-12-10		
178	25	12	2020-11-11		
179	22	429	2019-10-13		
180	4	494	2020-10-31		
181	10	313	2020-12-16		
182	27	31	2021-09-13		
183	30	93	2021-09-02		
184	13	296	2020-07-04		
185	9	302	2020-04-01		
186	22	47	2019-10-20		
187	20	402	2020-05-17		
188	26	343	2020-01-31		
189	4	11	2020-09-24		
190	29	327	2020-06-16		
191	30	163	2019-08-27		
192	30	381	2021-01-27		
193	18	301	2020-09-05		
194	8	28	2020-02-27		
195	12	496	2019-10-04		
196	8	446	2020-02-12		
197	21	34	2020-01-01		
198	19	359	2019-11-07		
199	16	406	2019-12-02		
200	6	161	2021-04-19		
201	2	196	2020-09-02		
202	7	316	2020-02-22		
203	29	133	2021-03-11		
204	28	465	2020-02-07		
205	19	492	2020-11-23		
206	9	218	2019-09-20		
207	16	159	2020-05-10		
208	27	309	2020-04-24		
209	17	297	2020-02-21		
210	16	439	2021-01-23		
211	2	39	2019-12-19		
212	20	48	2019-10-24		
213	7	195	2020-02-16		
214	22	30	2019-12-07		
215	1	211	2020-02-01		
216	10	145	2020-09-20		
217	24	457	2020-01-24		
218	16	299	2021-04-03		
219	9	233	2019-11-13		
220	25	377	2020-07-15		
221	23	70	2020-07-30		
222	16	104	2019-10-22		
223	26	118	2020-06-10		
224	21	286	2019-08-13		
225	25	239	2019-09-28		
226	19	318	2020-04-20		
227	17	273	2022-03-07		
228	29	52	2020-07-30		
229	4	209	2020-03-26		
230	17	231	2020-12-23		
231	29	55	2020-03-01		
232	15	120	2021-01-23		
233	16	164	2019-10-21		
234	22	336	2021-01-15		
235	19	282	2021-03-13		
236	8	67	2020-02-27		
237	10	240	2019-10-27		
238	11	51	2020-09-19		
239	2	434	2019-12-31		
240	6	403	2020-02-05		
241	12	168	2022-05-30		
242	22	307	2020-01-06		
243	6	157	2019-12-27		
244	1	362	2020-03-03		
245	25	472	2019-12-02		
246	25	449	2020-01-01		
247	30	398	2021-02-21		
248	18	146	2020-04-02		
249	14	192	2020-10-31		
250	4	10	2020-02-20		
251	26	298	2019-11-11		
252	7	387	2019-11-27		
253	26	191	2020-09-07		
254	19	134	2020-10-19		
255	13	247	2019-12-18		
256	14	389	2019-12-21		
257	2	148	2020-03-03		
258	10	337	2020-05-24		
259	21	205	2021-01-22		
260	29	479	2020-01-04		
261	29	489	2020-06-16		
262	19	37	2020-07-30		
263	3	340	2020-07-19		
264	25	397	2021-02-22		
265	2	294	2020-01-11		
266	10	238	2020-04-06		
267	8	224	2019-12-11		
268	29	394	2019-12-23		
269	1	267	2020-11-19		
270	15	284	2020-08-30		
271	17	183	2019-10-02		
272	24	83	2019-11-04		
273	29	226	2020-04-13		
274	3	32	2019-07-08		
275	5	165	2020-03-16		
276	4	56	2020-01-13		
277	13	375	2021-02-22		
278	6	495	2020-04-26		
279	14	453	2020-01-28		
280	19	438	2019-10-28		
281	2	391	2020-04-09		
282	4	217	2020-11-19		
283	12	252	2020-05-01		
284	30	158	2020-09-08		
285	2	64	2021-04-03		
286	12	73	2020-07-14		
287	8	71	2020-04-24		
288	22	255	2020-04-01		
289	2	253	2020-03-27		
290	30	204	2020-10-02		
291	25	222	2020-03-05		
292	5	110	2020-12-14		
293	13	214	2020-09-03		
294	2	144	2019-07-28		
