번호	이름	좌표	평(m²)	방 개수	층고
A001	래미안	33,26	23.67000008	2	2
A002	힐스테이트	25,20	13.40999985	1	3
A003	디에이치	16,39	20.94000053	3	8
A004	벨라시티	3,38	31.89999962	3	1
A005	삼성아파트	41,36	18.30999947	1	19
A006	파란채	4,21	23.77999878	2	4
A007	NEUM	41,49	20.52000046	2	4
A008	와이시티	16,49	15.09000015	1	14
A009	자이	43,4	15.26000023	2	5
A010	울리움	48,19	21.27000046	3	3
A011	경동리인	27,39	23.77000046	1	19
A012	더샵	3,29	11.06999969	3	10
A013	이지움	24,15	19.45000076	1	3
A014	우림필유	32,33	31.84000015	3	2
A015	푸르지오	13,12	20.65999985	3	1
A016	천년나무	42,42	17.13999939	3	5
A017	롯데캐슬	39,49	16.62000084	3	5
A018	우미린	46,12	35.05999756	1	18
A019	센타시아	41,42	16.88999939	1	5
A020	르엘	13,27	33.22999954	3	4
A021	파라곤	6,41	21.02000046	3	6
A022	자연&	42,4	33.97000122	3	2
A023	에코하임	27,20	15.68999958	1	18
A024	트루엘	6,40	30.45999908	1	6
A025	에코앤	15,3	24.92000008	1	1
A026	휴먼빌	14,12	12.42000008	1	18
A027	e편한세상	14,49	24.38000107	1	18
A028	레이시티	49,21	17.23999977	3	4
A029	신나리 아파트	16,7	23.88999939	1	12
A030	더리브	9,33	19.92000008	3	4
A031	아크로	14,14	23.52000046	3	5
A032	보해이브	37,19	22.88000107	1	6
A033	다사로움	24,14	24.5	3	1
A034	혜렌시움	8,25	23.97000122	3	2
A035	아이파크	31,32	18.84000015	1	13
A036	대경파미르	46,14	28.68000031	1	8
A037	서린엘마르	40,19	23.40999985	2	5
A038	드림파크	15,49	39.93000031	1	15
A039	SK뷰	32,32	18.82999992	2	15
A040	EG the 1	19,7	26.48999977	2	4
A041	대동레미안	30,32	19.52000046	3	2
A042	J클래스	40,49	28.30999947	1	5
A043	이펠바움	3,28	23.42000008	1	2
A044	앨리체	46,27	24.84000015	2	20
A045	파크사이드	33,27	23.20999908	1	4
A046	타운힐스	21,25	39.69000244	1	3
A047	포레나	14,13	21.28000069	1	19
A048	모닝빌	14,3	32.54999924	1	6
A049	휴니온	13,49	19.11000061	3	2
A050	베르디움	4,20	36.98999786	3	16
A051	어반스테이	19,25	16.37000084	2	16
A052	아람채	8,24	19.76000023	2	3
A053	호반써밋	9,34	21.69000053	1	4
A054	SD아이프라임	24,12	25.36000061	3	12
A055	필하우스	47,33	16.31999969	2	3
A056	가화만사성	26,20	36.58000183	3	6
A057	데시앙	28,39	15.02000046	2	18
A058	리안비채	26,39	39.52999878	2	3
A059	한양립스	26,11	18.04999924	1	10
A060	도나우타운	4,4	39.15999985	1	12
A061	베리디움	17,7	20.88999939	1	4
A062	다소미	1,27	18.60000038	3	1
A063	코오롱하늘채	33,28	18.47999954	3	6
A064	대방디엠시티	42,5	23.29999924	1	2
A065	스위트엠	10,34	21.79000092	2	2
A066	웰라움	23,18	18.43000031	3	18
A067	해모로	4,38	20.48999977	3	2
A068	삼익세라믹	47,27	15.5	2	15
A069	개성하이뷰	5,38	17.88000107	3	6
A070	골드클래스	20,25	11.48999977	2	5
A071	근화베아채	25,11	17.14999962	1	2
A072	더 뉴클래스	6,4	11.64000034	3	12
A073	지엔하임	27,11	19.38999939	2	2
A074	휴티스	43,5	24.15999985	3	18
A075	퀸즈W	24,13	19.36999893	2	9
A076	하우스디	44,38	12.96000004	2	1
A077	엘크루	13,26	18.69000053	1	17
A078	두비앙	5,4	11.61999989	2	2
A079	아리스타	2,17	24.84000015	1	1
A080	아펠비움	46,13	39.76000214	1	11
A081	예미지	13,25	18.39999962	3	16
A082	우남퍼스트빌	12,12	10.14999962	3	2
A083	영무예다음	3,27	18.60000038	1	20
A084	우성스마트시티뷰	6,42	32.43000031	3	3
A085	블렌하임	30,33	24.72999954	2	1
A086	유창이이리치	47,26	27.02000046	3	14
A087	금호어울림	28,2	17.98999977	3	15
A088	영진자이온	39,19	30.05999947	1	3
A089	중흥S-클래스	49,6	17.63000107	2	20
A090	더엘본	47,28	27.79999924	3	18
A091	아데나	18,7	17.34000015	1	5
A092	리첸시아	24,11	26.52000046	3	14
A093	초록지붕	50,7	21.65999985	2	6
A094	세원 수	2,18	21.20999908	2	2
A095	덕산아내	25,39	20.22999954	1	15
A096	백년가	28,20	14.11000061	1	8
A097	엘리프	43,42	24.32999992	3	2
A098	줌파크	40,36	31.47999954	3	13
A099	다미아	50,17	19.52000046	1	3
A100	한신더휴	25,21	34.56999969	2	4
