번호	이름	좌표
B001	삼성	35,9
B002	현대자동차	25,32
B003	SK	38,26
B004	LG	26,28
B005	롯데	12,31
B006	포스코	25,35
B007	한화	45,19
B008	GS	6,8
B009	현대중공업	11,25
B010	NEXON	12,30
B011	신세계	19,46
B012	KT	17,12
B013	CJ	35,38
B014	한진	31,40
B015	두산	3,44
B016	LS	11,48
B017	부영	42,8
B018	카카오	35,8
B019	DL	6,9
B020	미래에셋	12,35
B021	현대백화점	25,33
B022	금호아시아나	11,24
B023	S-OIL	38,38
B024	셀트리온	20,46
B025	한국투자금융	35,7
B026	교보생명	25,34
B027	네이버	1,22
B028	HDC	17,11
B029	효성	46,47
B030	영풍	45,20
C001	KB 국민은행	37,14
C002	신한은행	50,50
C003	하나은행	48,7
C004	CU	38,19
C005	GS25	6,10
C006	세븐일레븐	4,22
C007	서울아산병원	49,32
C008	서울대병원	25,49
C009	삼성서울병원	11,19
C010	에버랜드	21,18
C011	롯데월드	26,7
C012	CGV	26,49
C013	메가박스	21,46
C014	롯데시네마	33,23
C015	월드크리닝	35,4
C016	크린토피아	38,36
C017	아이다스	42,9
C018	나이키	12,19
C019	GUCCI	36,4
C020	CHANEL	21,39
C021	스타벅스	34,23
C022	투썸플레이스	45,47
C023	메가커피	30,48
C024	서울대학교	38,27
C025	연세대학교	7,48
C026	고려대학교	37,36
C027	우체국	21,1
C028	경찰서	10,5
C029	소방서	25,22
C030	보건소	6,11
