번호	건물	거래유형	 보증금/전세(만원) 	 관리비 / 월세(만원) 	계약 기간(월)
1	A071	전세	17500	15	12
2	A054	전세	26000	30	12
3	A058	월세	600	70	22
4	A010	전세	24100	10	12
5	A031	월세	300	25	20
6	A078	전세	11900	10	12
7	A002	전세	13800	10	24
8	A077	전세	19600	30	12
9	A082	전세	10200	5	12
10	A071	전세	17700	20	12
11	A005	전세	18600	30	12
12	A042	월세	400	30	9
13	A087	월세	200	45	16
14	A080	전세	39800	30	24
15	A038	전세	40100	30	12
16	A039	전세	24300	10	12
17	A088	전세	30400	15	24
18	A006	전세	24700	20	12
19	A095	전세	20700	10	12
20	A037	월세	400	40	27
21	A053	전세	22100	15	24
22	A077	월세	300	50	7
23	A006	전세	24700	30	24
24	A058	월세	600	60	6
25	A047	월세	200	45	24
26	A030	월세	400	20	26
27	A056	전세	18600	30	24
28	A065	전세	22100	30	24
29	A027	월세	500	15	14
30	A028	월세	200	40	24
31	A083	월세	400	60	18
32	A083	월세	400	40	29
33	A059	전세	18400	5	12
34	A099	전세	19800	30	24
35	A092	월세	500	60	25
36	A023	전세	16100	10	12
37	A070	월세	200	55	16
38	A099	월세	300	20	26
39	A025	월세	300	40	19
40	A054	전세	25400	30	12
41	A011	월세	200	55	6
42	A100	월세	500	70	9
43	A068	월세	300	30	11
45	A058	전세	40400	25	24
46	A011	전세	24300	30	24
47	A011	전세	24600	30	24
48	A080	전세	40400	10	24
49	A029	월세	400	45	22
50	A005	전세	18700	20	24
51	A030	월세	300	20	10
52	A039	월세	200	70	8
53	A031	전세	24200	15	24
54	A095	전세	20200	20	24
55	A098	월세	400	70	20
56	A041	월세	200	40	24
57	A028	전세	17900	5	12
58	A017	전세	17300	30	12
59	A017	월세	200	60	27
60	A065	전세	22200	30	24
61	A042	전세	28400	25	12
62	A042	월세	400	20	24
63	A072	전세	11800	10	12
64	A033	월세	300	20	11
65	A064	월세	500	75	13
66	A021	월세	200	80	28
67	A019	전세	17200	30	12
68	A059	월세	300	60	22
69	A009	월세	300	35	24
70	A046	월세	500	80	18
71	A091	전세	18100	30	24
72	A027	월세	200	60	6
73	A079	전세	24800	15	12
74	A038	전세	40400	10	12
75	A029	월세	400	40	9
76	A092	월세	300	70	23
77	A064	월세	500	35	26
78	A063	전세	19200	30	12
79	A043	월세	300	60	16
80	A010	전세	22000	20	12
81	A057	전세	15300	15	12
82	A070	전세	12400	30	24
83	A092	월세	300	70	14
84	A084	전세	33200	30	12
85	A003	월세	300	55	29
86	A055	월세	200	40	28
87	A092	전세	27100	10	24
88	A044	월세	300	50	8
89	A068	전세	16400	25	12
90	A051	전세	17200	10	24
91	A052	월세	300	40	20
92	A047	전세	21600	20	12
93	A036	전세	28800	25	12
94	A041	전세	20400	10	24
95	A027	월세	400	80	21
96	A006	전세	24500	10	12
97	A025	월세	300	65	9
98	A098	월세	400	70	8
99	A007	월세	300	60	15
100	A040	전세	27100	10	24
101	A037	전세	23800	15	24
102	A049	전세	19100	30	12
103	A016	월세	400	30	11
104	A048	월세	600	70	14
105	A026	월세	100	55	10
106	A063	전세	18600	20	12
107	A055	전세	16400	20	12
108	A016	월세	400	30	14
109	A094	월세	400	35	16
110	A066	전세	18900	30	12
111	A051	전세	16700	30	24
112	A040	월세	300	20	28
113	A011	월세	400	55	19
114	A079	전세	24900	30	12
115	A046	월세	500	50	22
116	A076	전세	13200	10	12
117	A060	전세	39700	15	24
118	A084	전세	33200	20	24
119	A002	전세	13800	30	24
120	A022	전세	34100	20	12
121	A008	월세	200	45	27
122	A011	전세	24600	30	12
123	A034	월세	200	50	26
124	A013	전세	19800	20	24
126	A054	월세	300	40	13
127	A061	월세	300	40	20
128	A055	전세	16600	20	24
129	A083	월세	300	35	18
130	A009	전세	16000	30	12
131	A020	전세	33400	10	24
132	A068	전세	15900	20	24
133	A046	전세	39900	25	24
134	A036	월세	300	50	7
135	A015	월세	400	80	14
136	A071	월세	300	60	26
137	A093	월세	400	35	8
138	A054	월세	300	50	13
139	A009	전세	16100	20	12
140	A076	전세	13500	10	12
141	A041	전세	19800	15	24
142	A047	전세	21600	10	12
143	A050	월세	300	50	18
144	A021	월세	300	40	10
145	A033	전세	25300	15	12
146	A010	월세	300	80	7
147	A059	월세	100	70	10
148	A017	월세	200	40	20
149	A093	전세	22200	25	24
150	A010	전세	22200	30	12
151	A045	전세	23700	10	12
152	A028	전세	17500	20	24
153	A088	월세	300	45	22
154	A076	전세	13800	20	12
155	A028	월세	200	50	21
156	A071	월세	200	40	27
157	A026	전세	12600	5	12
158	A009	전세	15500	20	12
159	A004	월세	600	30	18
160	A033	전세	24600	20	24
161	A080	월세	500	45	9
162	A030	전세	20200	20	12
163	A024	전세	30400	20	24
164	A049	월세	200	70	9
165	A026	전세	13100	25	12
166	A035	월세	300	20	12
167	A005	월세	300	20	23
168	A049	전세	19900	20	24
169	A021	전세	21200	15	24
170	A087	전세	18600	30	24
171	A059	월세	100	70	11
172	A076	전세	13300	30	24
173	A093	전세	22400	15	24
174	A034	월세	300	40	6
175	A055	월세	200	30	27
176	A009	월세	400	20	17
177	A075	월세	300	45	7
178	A042	전세	29000	30	12
179	A097	전세	24700	10	24
180	A012	월세	100	70	24
181	A093	월세	300	25	17
182	A063	월세	200	20	21
183	A035	월세	300	70	28
184	A015	전세	20700	30	12
185	A048	전세	32900	25	12
186	A022	월세	400	30	16
187	A100	전세	34800	10	12
188	A014	월세	300	70	13
189	A003	월세	200	25	11
190	A035	전세	19500	10	24
191	A055	월세	300	60	29
192	A093	월세	300	20	14
193	A054	월세	400	55	27
194	A041	전세	19800	10	12
195	A085	전세	25500	10	24
196	A083	월세	400	80	11
197	A067	월세	200	25	12
198	A073	전세	19500	30	24
199	A100	월세	500	40	26
200	A034	전세	24500	30	24
201	A050	월세	400	45	21
202	A042	전세	29200	10	24
203	A070	전세	11700	10	12
204	A018	전세	35900	20	12
205	A043	월세	200	55	9
206	A045	전세	16400	20	12
207	A082	월세	100	40	18
208	A055	월세	200	60	10
209	A043	전세	24400	25	24
210	A051	월세	200	60	28
211	A023	월세	300	50	26
212	A062	전세	19200	10	12
213	A049	월세	200	35	22
214	A069	월세	200	20	9
215	A089	전세	18200	20	24
216	A038	월세	400	60	23
217	A031	전세	24400	15	12
218	A030	월세	400	30	19
219	A016	전세	17700	20	12
220	A053	전세	21900	20	12
221	A023	월세	400	55	10
222	A059	전세	18900	30	24
223	A037	전세	23400	20	12
224	A088	월세	400	20	10
225	A048	전세	32900	15	12
226	A020	월세	500	30	14
227	A069	전세	18600	30	24
228	A075	월세	400	20	23
229	A062	월세	300	25	8
230	A074	전세	25000	30	12
231	A017	월세	100	70	12
232	A081	전세	18700	30	12
233	A021	월세	300	55	25
234	A096	전세	14500	10	24
235	A007	전세	21000	10	24
236	A007	월세	300	40	25
237	A080	월세	400	55	13
238	A038	전세	40200	10	24
239	A047	월세	400	60	29
240	A012	월세	200	30	24
241	A012	전세	11600	15	12
242	A018	전세	35200	20	24
243	A005	월세	200	50	8
244	A072	전세	11700	10	24
245	A054	월세	300	35	28
246	A057	전세	15900	30	24
247	A022	월세	600	80	10
248	A047	전세	21300	10	24
249	A075	월세	200	25	11
250	A076	월세	200	30	10
251	A040	전세	27100	10	24
252	A091	월세	300	50	9
253	A075	전세	20200	25	24
254	A008	전세	15400	10	24
255	A064	전세	24200	10	24
256	A072	월세	200	60	19
257	A002	전세	14200	5	24
258	A044	월세	400	40	20
259	A041	월세	200	80	15
260	A028	월세	200	30	20
261	A099	전세	19900	15	12
262	A081	월세	100	80	16
263	A070	월세	300	50	18
264	A041	월세	500	50	13
265	A074	월세	300	55	28
266	A028	전세	17700	10	12
267	A036	전세	29400	20	12
268	A044	전세	25600	10	24
269	A095	전세	20600	15	24
270	A013	월세	200	20	23
271	A065	월세	500	50	24
272	A035	전세	19000	30	24
273	A011	월세	200	65	19
274	A019	월세	200	50	25
275	A008	전세	15400	30	24
276	A044	전세	25200	20	24
277	A096	전세	14200	15	12
278	A055	전세	16900	10	24
279	A050	전세	37000	20	24
280	A098	전세	31600	20	24
281	A022	전세	34600	5	24
282	A038	월세	500	50	6
283	A040	전세	26900	10	12
284	A029	전세	24000	30	12
285	A051	전세	17300	25	24
286	A014	전세	32300	10	24
287	A052	전세	19700	30	24
288	A097	월세	300	40	27
289	A056	전세	37000	25	12
290	A091	전세	17600	30	24
291	A066	전세	19100	10	12
292	A045	전세	24000	10	24
293	A070	전세	12300	5	12
294	A007	전세	20600	10	24
295	A076	월세	400	20	9
296	A071	월세	300	70	19
297	A050	월세	500	25	24
298	A016	전세	17200	30	24
299	A023	전세	15600	30	12
300	A032	월세	200	60	23
301	A079	월세	500	35	10
302	A006	전세	23900	20	12
303	A052	월세	200	20	16
304	A076	전세	13300	30	24
305	A081	월세	400	75	29
306	A033	월세	400	60	14
307	A098	전세	31600	20	24
308	A081	전세	19300	30	24
309	A068	전세	16300	15	24
310	A091	전세	17900	20	24
311	A088	전세	30700	30	24
312	A042	전세	28400	20	12
313	A013	월세	200	55	15
314	A096	월세	400	30	22
315	A080	월세	500	50	13
316	A070	전세	11700	30	24
317	A041	월세	400	55	28
318	A002	전세	13400	20	12
319	A017	월세	200	40	17
320	A017	월세	200	40	19
321	A053	전세	17100	5	12
322	A041	월세	300	50	20
323	A011	월세	400	60	16
324	A028	월세	300	40	8
325	A073	월세	400	25	20
326	A085	월세	400	60	25
327	A050	월세	300	30	21
328	A019	월세	200	40	15
329	A090	월세	300	45	10
330	A038	전세	40700	20	24
331	A033	전세	25200	30	12
332	A078	월세	200	30	7
333	A022	월세	500	55	17
334	A045	전세	23500	30	24
335	A024	전세	30900	30	24
336	A088	전세	30600	10	12
337	A062	월세	400	65	17
338	A038	월세	400	70	26
339	A039	월세	200	70	26
340	A087	전세	18700	30	12
341	A059	전세	18600	5	24
342	A094	전세	21400	30	24
343	A052	전세	19900	30	12
344	A034	월세	500	20	13
345	A087	월세	300	45	29
346	A026	월세	100	30	26
347	A026	월세	300	80	9
348	A018	월세	300	70	29
349	A035	전세	19200	5	12
350	A001	전세	24200	30	24
351	A075	월세	200	70	16
352	A085	전세	25000	20	24
353	A028	전세	17700	15	12
354	A071	전세	17500	20	24
355	A041	전세	20000	30	12
356	A080	월세	300	70	18
357	A075	월세	400	15	22
358	A044	전세	24800	30	12
359	A008	전세	15600	10	24
360	A042	전세	28500	30	12
361	A034	전세	24900	15	24
362	A072	월세	300	70	13
363	A032	월세	500	60	14
364	A080	월세	400	60	25
365	A016	전세	18000	25	24
366	A060	월세	500	80	20
367	A096	전세	15100	20	24
368	A025	월세	400	40	16
369	A094	전세	22000	15	24
370	A012	월세	400	70	6
371	A099	전세	19900	30	24
372	A064	월세	300	30	9
373	A060	전세	39900	15	24
374	A091	월세	100	50	10
375	A058	전세	40500	10	12
376	A025	전세	25100	10	24
377	A087	월세	400	35	11
378	A008	월세	100	50	10
379	A042	월세	300	40	25
380	A076	월세	300	70	9
381	A025	전세	25000	25	12
382	A038	월세	500	40	26
383	A040	전세	27100	20	12
384	A053	월세	300	70	18
385	A028	전세	17200	25	24
386	A059	전세	18300	20	24
387	A021	월세	400	40	7
388	A008	전세	15700	30	24
389	A090	전세	27900	5	12
390	A012	월세	200	70	12
391	A066	전세	18500	10	12
392	A091	월세	400	80	16
393	A024	전세	30700	5	24
394	A095	전세	20600	20	24
395	A085	전세	25200	20	24
396	A045	전세	23500	20	24
397	A050	월세	500	55	8
398	A077	월세	300	40	11
399	A084	전세	32700	10	24
400	A039	월세	400	50	11
401	A020	월세	500	15	28
402	A035	전세	25300	20	12
403	A042	전세	28600	10	24
404	A016	전세	17500	10	24
405	A005	월세	300	45	9
406	A010	월세	200	20	15
407	A021	월세	200	40	10
408	A070	전세	11800	10	24
409	A051	전세	17200	5	24
410	A019	전세	17200	30	12
411	A100	월세	400	20	12
412	A048	전세	33200	10	12
413	A001	전세	24300	25	12
414	A043	전세	23800	20	24
415	A029	월세	300	60	29
416	A076	전세	13900	30	24
417	A090	전세	28400	25	24
418	A083	전세	19100	30	12
419	A018	월세	400	30	18
420	A011	월세	400	60	12
421	A002	월세	100	45	6
422	A016	전세	17300	10	24
423	A038	월세	500	40	25
424	A019	전세	17400	10	12
425	A098	월세	300	45	13
426	A088	월세	500	60	23
427	A059	월세	200	80	25
428	A073	월세	200	40	11
429	A015	월세	400	35	7
430	A026	전세	13100	10	24
431	A004	전세	21300	20	12
432	A083	전세	19500	30	12
433	A079	월세	400	25	16
434	A080	전세	40000	20	24
435	A034	전세	24600	20	12
436	A046	월세	400	40	18
437	A056	월세	600	35	13
438	A081	월세	400	70	24
439	A057	월세	400	60	9
440	A021	전세	21900	20	24
441	A021	전세	21300	15	24
442	A037	전세	23700	30	24
443	A058	전세	39500	30	24
444	A035	전세	19100	30	24
445	A053	월세	200	65	15
446	A043	월세	300	20	15
447	A058	전세	40500	30	24
448	A006	월세	500	80	24
449	A055	전세	17000	25	12
450	A021	전세	21600	10	12
451	A097	월세	500	70	16
452	A094	전세	21800	10	12
453	A100	전세	34800	25	24
454	A084	전세	32900	30	12
455	A041	전세	20300	10	12
456	A081	전세	19200	10	24
457	A099	월세	300	15	20
458	A026	월세	300	60	7
459	A018	전세	35100	30	12
460	A070	전세	12000	20	24
461	A002	전세	13800	5	24
462	A034	전세	24000	30	24
463	A070	전세	11900	30	12
464	A012	전세	11700	30	12
465	A011	월세	400	35	9
466	A030	전세	20400	10	24
467	A040	전세	26800	10	12
468	A056	전세	37500	20	24
469	A032	전세	23800	25	12
470	A030	월세	300	40	17
471	A081	월세	400	80	14
472	A031	전세	24100	30	24
473	A038	월세	600	35	7
474	A041	전세	20000	30	24
475	A085	월세	500	80	25
476	A041	월세	200	80	8
477	A073	전세	19900	25	24
478	A066	전세	18500	10	12
479	A041	월세	400	60	19
480	A096	월세	300	20	12
481	A065	전세	21900	25	12
482	A052	월세	400	30	10
483	A023	전세	15900	20	24
484	A059	월세	400	30	11
485	A075	월세	400	45	22
486	A046	전세	39700	20	12
487	A091	전세	17400	30	12
488	A030	월세	400	40	16
489	A067	월세	300	65	14
490	A090	전세	28200	30	12
491	A029	월세	400	40	23
492	A037	전세	23900	30	12
493	A002	전세	13900	15	24
494	A030	전세	20700	20	12
495	A099	월세	300	50	15
496	A077	전세	18700	30	24
497	A059	월세	200	65	27
498	A061	월세	300	30	25
499	A027	월세	300	40	26
