번호	좌표
D001	9,8
D002	9,9
D003	9,10
D004	10,10
D005	11,10
D006	12,37
D007	12,38
D008	12,39
D009	12,40
D010	12,41
D011	12,42
D012	23,37
D013	23,38
D014	23,39
D015	23,40
D016	23,41
D017	35,41
D018	36,41
D019	37,41
D020	38,41
D021	35,42
D022	35,43
D023	35,44
D024	35,45
D025	35,46
D026	31,16
D027	31,17
D028	31,18
D029	31,19
D030	31,20
D031	31,21
D032	34,15
D033	33,15
D034	32,15
D035	31,15
D036	30,15
D037	29,15
D038	28,15
D039	17,18
D040	17,19
D041	17,20
D042	17,21
D043	17,22
D044	17,23
D045	22,18
D046	22,17
D047	22,19
D048	6,18
D049	7,18
D050	7,19
D051	7,20
D052	7,21
D053	7,22
D054	7,23
D055	9,24
D056	10,24
D057	7,24
D058	31,8
D059	31,9
D060	31,10
D061	31,11
D062	31,12
D063	31,13
D064	31,14
D065	18,4
D066	19,4
D067	20,4
D068	21,4
D069	22,4
D070	23,4
D071	24,45
D072	25,45
D073	26,45
D074	27,45
D075	28,45
D076	29,45
D077	30,45
D078	5,46
D079	6,46
D080	7,46
D081	8,46
D082	9,46
D083	9,45
D084	10,45
D085	10,44
D086	11,44
D087	11,43
D088	12,43
D089	7,17
D090	8,17
D091	9,17
D092	17,17
D093	18,17
D094	19,17
D095	20,17
D096	21,17
D097	5,18
D098	9,16
D099	9,15
D100	9,14
