번호	회원번호	상품번호
1	6	D-2
2	7	D-1
3	8	D-6
4	9	Y-1
5	10	D-3
6	11	D-5
7	12	F-1
8	1	L-1
9	2	F-2
10	3	L-6
11	4	M-11
12	5	T-10
13	10	F-18
14	11	P-20
15	12	F-12
16	13	S-1
17	14	B-5
18	23	W-5
19	24	W-1
20	1	Y-2
21	2	B-3
22	13	B-17
23	14	S-9
24	18	S-2
25	16	T-10
26	17	T-8
27	18	F-1
28	19	L-8
29	10	M-16
30	11	H-8
31	12	P-15
32	13	G-3
33	14	H-17
34	19	G-7
35	1	P-14
36	17	B-3
37	18	B-7
38	11	S-19
39	20	S-20
40	21	T-18
41	22	T-8
42	1	F-14
43	18	Y-2
44	19	B-3
45	10	B-7
46	11	S-15
47	22	S-20
48	1	T-18
49	17	T-18
50	18	F-14
51	19	L-18
52	10	S-19
53	11	F-10
54	22	L-1
55	2	L-1
56	3	H-7
57	4	P-15
58	5	G-3
59	10	L-1
60	1	D-5
