번호	상품번호	회원번호	구매날짜
1	D-5	8	2022-08-15
2	Y-8	1	2022-08-15
3	Y-1	10	2022-08-15
4	W-19	4	2022-08-15
5	B-3	17	2022-08-15
6	S-4	4	2022-08-16
7	T-5	11	2022-08-16
8	F-8	2	2022-08-16
9	L-8	3	2022-08-16
10	M-7	4	2022-08-16
11	H-17	15	2022-08-17
12	G-13	10	2022-08-17
13	P-12	20	2022-08-17
14	D-11	1	2022-08-17
15	W-7	23	2022-08-17
16	Y-17	24	2022-08-17
17	W-1	12	2022-08-18
18	B-1	13	2022-08-18
19	S-9	9	2022-08-18
20	T-8	1	2022-08-18
21	F-10	15	2022-08-18
22	L-9	21	2022-08-19
23	M-11	20	2022-08-19
24	H-13	1	2022-08-19
25	G-1	8	2022-08-20
26	P-10	4	2022-08-21
27	D-10	8	2022-08-21
28	W-3	14	2022-08-21
29	S-11	19	2022-08-21
30	B-2	17	2022-08-22
31	B-11	15	2022-08-23
32	S-19	18	2022-08-24
33	T-15	16	2022-08-24
34	F-7	1	2022-08-24
35	L-1	20	2022-08-25
36	M-13	23	2022-08-25
37	H-2	22	2022-08-26
38	G-10	2	2022-08-26
39	P-7	1	2022-08-27
40	G-6	1	2022-08-28
41	L-19	8	2022-08-28
42	M-8	13	2022-08-29
43	T-11	14	2022-08-29
44	F-11	20	2022-08-29
45	W-12	25	2022-08-29
