번호	회원번호	굿즈번호	수량
1	10	A01	2
2	12	A04	1
3	1	B02	5
4	14	B04	3
5	5	A04	5
6	1	B02	3
7	7	C01	2
8	13	A04	1
9	8	C01	5
10	9	A04	6
11	10	A04	3
12	1	B02	3
13	13	B04	6
14	4	D01	2
15	5	C01	2
16	16	D05	1
17	6	B04	1
18	7	C05	1
19	8	B02	1
20	9	B02	5
21	14	B02	2
22	11	C01	3
23	1	A04	6
24	13	C05	5
25	5	A04	2
26	1	B02	1
27	13	B04	4
28	14	D01	8
29	19	D01	5
30	13	C01	7
31	1	D05	5
32	8	B04	2
33	9	C05	1
34	10	B02	2
35	6	B04	5
36	7	D01	6
37	8	C01	3
38	9	D05	6
39	14	A04	3
40	11	B02	2
41	14	D05	1
42	19	B04	5
43	13	C05	8
