번호	상품명	가격	재고	기부퍼센트
A01	기모후드티	30,000 	28	70%
A02	love 반팔티	16,000 	0	85%
A03	조거팬츠	22,000 	3	80%
A04	어린이 양말	10,000 	18	70%
A05	맨투맨	24,000 	30	90%
B01	밀짚모자	12,000 	22	75%
B02	나이키모자	25,000 	12	85%
B03	MLB모자	29,000 	5	70%
B04	버버리 벙거지	50,000 	2	90%
B05	프라다 버킷햇	60,000 	3	90%
C01	쿼카케이스	20,000 	4	75%
C02	타이거케이스	12,000 	11	80%
C03	짱구폰케이스	18,000 	2	70%
C04	오리케이스	19,000 	19	95%
C05	곰돌이케이스	22,000 	21	95%
D01	꼬임반지	43,000 	3	90%
D02	곰돌이팔찌	24,000 	8	85%
D03	나비반지	33,000 	4	75%
D04	헬로키티팔찌	5,000 	13	80%
D05	트라이앵글컷반지	63,000 	9	85%
