번호	봉사활동번호	회원번호	후기
1	1	14	재밌고 보람있었어요
2	4	3	담당자님이 너무 친절하셔서 좋았어요
3	3	4	도시락도 만들고 어르신들이랑 같이 대화할 수 있어서 좋았습니다.
4	4	12	
5	5	19	생각보다 힘들었지만 재미있었습니다.
6	13	1	
7	4	4	감사합니다.
8	20	11	
9	16	8	
10	13	9	
11	11	3	
12	17	12	
13	20	3	
14	12	9	
15	11	10	
16	20	2	
17	6	3	다들 한번씩 해보세요!
18	3	1	
19	9	12	
20	6	1	
21	9	10	
22	7	8	힘들었지만 고양이 너무 귀여웠어요
23	6	9	
24	10	10	지원 물품이 안전하게 잘 배송되었으면 좋겠습니다.
25	7	11	
26	6	4	
27	8	4	
28	7	4	
29	6	5	
30	11	6	뿌듯하고 보람있었어요 감사합니다.
31	7	1	
32	8	1	
33	9	7	
34	3	8	
35	10	9	
36	9	17	항상 쾌적하게 환경을 만들겠습니다. 감사드립니다.
37	16	19	
38	16	20	
39	9	13	
40	17	5	
41	10	6	
42	10	20	
43	23	19	
44	11	20	
45	12	2	
46	15	1	
47	20	4	
48	16	17	
49	13	11	
50	11	9	
51	17	17	
52	20	19	
53	12	20	
54	11	13	
55	20	1	
56	16	11	
57	25	1	
58	19	9	
59	11	17	
60	20	17	
