번호	회원번호	후원번호	금액	날짜
1	2	14	30,000 	2022-08-16
2	1	3	65,000 	2022-08-16
3	4	4	100,000 	2022-08-16
4	5	12	150,000 	2022-08-16
5	6	19	10,000 	2022-08-16
6	1	1	75,000 	2022-08-16
7	1	4	50,000 	2022-08-17
8	7	11	500,000 	2022-08-18
9	8	8	80,000 	2022-08-18
10	9	9	40,000 	2022-08-18
11	10	10	15,000 	2022-08-19
12	11	12	65,000 	2022-08-19
13	3	3	95,000 	2022-08-19
14	4	9	80,000 	2022-08-19
15	12	10	30,000 	2022-08-20
16	4	11	50,000 	2022-08-20
17	2	3	85,000 	2022-08-20
18	1	4	75,000 	2022-08-21
19	4	12	500,000 	2022-08-21
20	12	4	10,000 	2022-08-21
21	13	10	60,000 	2022-08-22
22	14	8	25,000 	2022-08-22
23	3	9	15,000 	2022-08-22
24	4	10	190,000 	2022-08-22
25	12	11	30,000 	2022-08-23
26	19	3	45,000 	2022-08-24
27	1	4	55,000 	2022-08-24
28	11	4	75,000 	2022-08-24
29	3	5	40,000 	2022-08-24
30	4	6	10,000 	2022-08-24
31	5	1	15,000 	2022-08-24
32	3	1	190,000 	2022-08-24
33	6	7	30,000 	2022-08-25
34	20	8	45,000 	2022-08-25
35	17	9	55,000 	2022-08-25
36	19	17	75,000 	2022-08-26
37	20	19	190,000 	2022-08-26
38	2	20	30,000 	2022-08-27
39	1	13	45,000 	2022-08-27
40	4	5	15,000 	2022-08-27
41	12	6	450,000 	2022-08-27
42	13	20	500,000 	2022-08-27
43	5	19	10,000 	2022-08-28
44	6	20	60,000 	2022-08-28
45	20	2	25,000 	2022-08-28
46	17	1	15,000 	2022-08-28
47	19	4	30,000 	2022-08-29
48	20	17	45,000 	2022-08-29
49	20	11	15,000 	2022-08-29
50	17	1	450,000 	2022-08-29
51	13	4	500,000 	2022-08-29
