번호	제목	내용
1	우크라이나 어린이에게 당신이 필요합니다.	어떤 상황에도 어린이는 무력분징의 희생자가 되어서는 안됩니다. 우크라이나 어린이는 지금 평화가 필요합니다. 여러분 한분 한분의 정성이 우크라이나 어린이를 구할 수 있습니다.
2	지진으로 고통받는 아이티를 도와주세요	계속된 재난으로 인해 고통받고 있는 아이티의 아이들을 단 한명이라도 더 살릴 수 있도록, 여러분의 도움을 시급하게 요청합니다.
3	날아라! 어린이의 꿈	장애어린이가 꿈꾸는 세상! 재활치료를 통해 자신마의 꿈을 펼칠 수 있도록 응원해 주세요.
4	만원의 기적	장애어린이에게 기적을 선물해 주세요.
5	삶의 터전을 잃은 주민들을 도와주세요	산불로 한순간 모든 걸 잃었습니다. 조금이라도 상처가 빨리 치유되고 다시금 시작할 수 있는 힘을 보태주세요.
6	결연가정에게 응원의 쌀 보내기	긴급 생계 지원이 필요한 결연가정이 풍족한 한 끼를 먹을 수 있도록 응원의 쌀을 보내주세요.
7	코로나 19 소상공인 돕기	골목 시장 소상공인들, 농가의 어르신들, 소외된 이웃들 이들의 삶이 건강해야 우리의 삶도 건강합니다.
8	수재민들 지원 함께합시다!	그치지 않고 계속 되는 비에 피해지역은 넓어지고, 이재민은 늘어만 갑니다. 수재민들 지원에 동참해 주세요.
9	코로나 19 복지사각지대	취약계층 여러분들이 코로나 19를 무사히 이겨냈으면 하는 마음으로 함께 도울게요
10	저소득가정에게 사랑의 복 선물하기!	2021년 새해가 밝았지만 여전히 코로나 19 확산으로 고립되고, 기습한파로 인한 물가상승에 당당 먹고 살기도 힘겨워진 저소득가정! 추석이 다가오는 지금 복 선물, 어떠세요?
11	해충의 위협! 방충망으로 지키기	튼튼한 방충망 하나만 있다면 어르신들이 안전한 여름을 맞이할 수 있습니다.
12	신발로 아이들의 안전을 지켜주세요	아이들이 건강하고 자유롭게 뛰어놀 수 있도록 지켜주며, 수익금은 보건 위생 사업에 사용됩니다.
13	학교에서 만나요, 우리!	배움의 기회가 없었던 아이들에게 기적을 선물해주세요.
14	사랑의 쌀	아직도 우리 주변에는 제대로 된 식사조차 힘든 저소득층 가정이 많이 있습니다. 이들에게 따뜻한 밥 한 끼는 내일을 살아가는 희망의 온기가 됩니다.
15	산타가 되어주세요	전 세계 아이들에게 크리스마스의 추억을 선물해주세요
16	새학기를 함께	저소득층 아이들에게 행복한 새학기를 선물해주세요. 
17	베이비박스 사랑의 나눔	베이비박스 아이들에게 따뜻한 우유를 선물해주세요.
18	특별한 간식상자	양육시설 아동들에게 특별한 간식상자를 선물해주세요.
19	약품창고를 함께 채워요	화재 사고가 빈번한 몽골. 화상 때문에 고통의 나날을 보내는 아이들에게 작은 희망이 필요합니다.
20	희망의 빛	감당할 수 없을 만큼 비싼 전기료로 전기사용이 어려워 해가 지면 마을 전체가 어둠으로 뒤덮입니다. 어둠 속 아이들에게 희망의 빛을 선물해주세요.
