번호	회원번호	장터번호	날짜
1	1	23	2022-05-01
2	13	24	2022-05-02
3	6	25	2022-05-02
4	9	26	2022-05-02
5	5	27	2022-05-02
6	11	28	2022-05-02
7	5	29	2022-05-02
8	2	30	2022-05-05
9	9	31	2022-05-05
10	14	32	2022-05-06
11	3	33	2022-05-06
12	11	34	2022-05-06
13	15	35	2022-05-07
14	1	36	2022-05-07
15	5	37	2022-05-07
16	9	38	2022-05-07
17	3	39	2022-05-08
18	19	40	2022-05-08
19	5	41	2022-05-08
20	14	42	2022-05-08
21	18	43	2022-05-08
22	4	44	2022-05-09
23	20	45	2022-05-09
24	20	46	2022-05-09
25	17	47	2022-05-09
26	19	48	2022-05-09
27	12	49	2022-05-10
28	7	50	2022-05-10
29	7	51	2022-05-10
30	11	52	2022-05-10
31	19	53	2022-05-11
32	11	54	2022-05-11
33	13	55	2022-05-12
34	20	56	2022-05-13
35	16	72	2022-05-13
36	1	57	2022-05-14
37	17	98	2022-05-14
38	2	58	2022-05-14
39	14	135	2022-05-14
40	20	59	2022-05-15
41	10	136	2022-05-15
42	8	60	2022-05-15
43	5	168	2022-05-15
44	18	61	2022-05-15
45	20	171	2022-05-15
46	16	62	2022-05-16
47	3	185	2022-05-16
48	18	63	2022-05-16
49	9	218	2022-05-16
50	5	64	2022-05-17
51	8	264	2022-05-17
52	2	65	2022-05-17
53	1	266	2022-05-17
54	14	66	2022-05-17
55	6	1	2022-05-18
56	15	67	2022-05-18
57	13	2	2022-05-18
58	9	68	2022-05-18
59	17	3	2022-05-19
60	2	69	2022-05-19
61	12	4	2022-05-19
62	6	70	2022-05-20
63	15	5	2022-05-20
64	10	71	2022-05-20
65	3	6	2022-05-20
66	11	7	2022-05-20
67	19	73	2022-05-20
68	5	8	2022-05-22
69	10	74	2022-05-22
70	13	9	2022-05-22
71	11	75	2022-05-22
72	15	10	2022-05-24
73	3	76	2022-05-24
74	16	11	2022-05-25
75	1	77	2022-05-25
76	7	12	2022-05-25
77	17	78	2022-05-25
78	8	13	2022-05-25
79	15	79	2022-05-26
80	15	14	2022-05-26
