번호	분류번호	이름	연령제한	설명	가격	할인	할인대상	카드유무	사진
1	6,8,9	카운터 스트라이크	3	Counter-Strike: Global Offensive(CS: GO)는 19년 전 출시 당시 개척한 팀 기반 액션 게임플레이의 수준을 한층 더 끌어올렸습니다. CS: GO는 새 맵, 캐릭터, 무기 및 게임 모드를 도입했고, 기존의 클래식 CS 콘텐츠(de_dust2 등)의 개선된 버전을 제공합니다.	0	0	0	0	
2	2,6,8	도타2	1	매일, 전 세계 수백 만의 플레이어가 백여 명의 도타 영웅 중 하나가 되어 전장에 뛰어듭니다. 10시간을 했든, 1,000시간을 했든 언제나 새롭게 느껴지는 무언가가 있습니다. 정기적인 업데이트로 게임플레이, 기능, 영웅이 끊임없이 진화하는 도타 2는 그 자체의 생명력으로 살아 숨 쉬는 게임입니다.	0	0	0	0	
3	2,6	몬스터헌터 월드	2	새로운 생명의 땅. 사냥하라, 본능에 따라! 시리즈 최신작 'Monster Hunter: World'에서는 새롭게 제작된 다양한 지형과 생태계가 살아 숨쉬는 세계에서 궁극의 사냥 생활을 체험할 수 있습니다.	34900	0	0	1	
4	5,6,7,8,9	배틀그라운드	3	PUBG: BATTLEGROUNDS를 무료로 플레이 하세요. 다양한 전장에서 전략적 위치를 선점하고 무기와 장비를 확보해 최후의 1인이 되기 위한 생존의 사투를 펼칩니다. 친구들과 함께 팀을 만들어 배틀로얄 건플레이 장르의 선구자인 PUBG: BATTLEGROUNDS만이 선사하는 긴장감 넘치는 경험을 위해 도전하세요.	0	0	0	0	
5	6,7,9	에이펙스 레전드	3	Apex 레전드는 Respawn Entertainment에서 제작한 다양한 수상 경력을 자랑하는 무료 플레이 히어로 슈팅 게임입니다. 게임에 계속해서 추가되는 레전드 캐릭터들의 강력한 능력을 마스터하고 깊이 있는 전술적 분대 플레이, 새롭게 진화하는 게임플레이를 지닌 히어로 슈팅과 배틀 로얄의 혁신을 경험하세요.	0	0	0	1	
6	2,6	엘든 링	3	본 게임은 본격적인 다크 판타지 세계를 무대로 한 액션 RPG입니다. 드넓은 필드와 던전 탐험을 통해 미지의 것들을 발견해 보세요. 앞길을 막아서는 난관과 그것을 극복했을 때의 달성감, 그리고 등장인물들의 의도가 교착하는 군상극도 즐기실 수 있습니다.	64800	0	0	1	
7	3,6,7,9	Grand Theft Auto V	3	PC용 Grand Theft Auto V는 각종 수상에 빛나는 로스 산토스와 블레인 카운티의 거대한 세상을 최대 4K 이상의 해상도로 둘러볼 수 있는 기회를 플레이어에게 제공하며, 초당 60프레임으로 게임을 실행할 수도 있습니다.	33000	60	1	0	
8	6,7,	나라카	2	나라카: 블레이드포인트는 60명의 유저가 동시에 플레이하며, 와이어 액션과 근거리 전투가 합쳐져 화려한 난전을 연출합니다. 중력을 거스르는 움직임, 방대한 근거리 및 원거리 무기, 디테일한 커스터마이징 기능 등 각각의 스타일이 다른 다양한 영웅들과 개성 넘치는 스킨 등 아시아의 배경 속 전설적인 전투 액션을…	22500	50	0	0	
9	2,5,6,7,9	러스트	3	러스트의 유일한 목표는 살아남는 것이다. 모든 것은 당신이 죽기를 원합니다. 섬의 야생 동물들과 다른 주민들, 환경, 다른 생존자들. 하룻밤을 더 버틸 수 있는 모든 것을 하라.	46000	45	2	0	
10	8	구스구스덕	1	거위, 거위, 오리? 여러분과 동료 거위들이 함께 임무를 완수해야 하는 사회적 추리 게임입니다. 여러분의 팀에 침투하여 여러분을 막기 위해 무슨 짓이든 할 수 있는 악의에 찬 청둥오리들과 다른 새들을 주시하십시오.	0	0	0	0	
11	4,5,8	풋볼 메니저2022	0	실제 감독처럼 클럽을 관리할 수 있는 특별한 경험. FM22가 승리의 열쇠를 찾아내고, 축구 철학을 팀에 심어주고, 그라운드 위에서 기쁨을 안겨줄 새롭고 과감한 방법들을 소개합니다.	54000	35	1	0	
12	4,5	피파22	0	Powered by Football™. EA SPORTS™ FIFA 22는 모든 모드에서 더 발전된 핵심 게임플레이와 새로운 혁신의 시즌을 통해 현실에 더욱 가까워진 게임을 제공합니다.	66000	0	0	0	
13	5,8	유희왕 마스터듀얼	0	사상 최고봉의 디지털 카드 게임으로!	0	0	0	1	
14	2,6,9	사이버펑크2077	3	사이버펑크 2077은 권력과 돈, 끝없는 신체 개조에 집착하는 어두운 미래의 위험천만한 메갈로폴리스, '나이트 시티'를 배경으로 한 오픈 월드 액션 어드벤처 RPG입니다.	66000	0	0	0	
15	1,6,7,9	레프트4데드2	3	좀비 대재앙을 배경으로 한 Left 4 Dead 2(L4D2)는 2008년도 최고의 협동 게임이자 여러 수상 경력을 자랑하는 Left 4 Dead를 잇는 대망의 후속작입니다. 이 공포 협동 액션 게임은 5개의 추가된 캠페인을 통해 사바나에서 뉴올리언스까지 이어지는 미국 최남단의 도시, 늪지대, 공동묘지 등으로 여러분과 친구들을 안…	10500	30	0	1	
16	5,6,7,9	레인보우식스시즈	3	Tom Clancy's Rainbow Six Siege는 명성이 자자한 FPS 시리즈의 최신작으로, Ubisoft Montreal 스튜디오에서 개발하였습니다.	22000	0	0	1	
17	4,5	NBA 2K22	1	NBA 2K22가 완전한 농구 유니버스를 선사합니다. NBA 2K22에서는 누구든지 어디서든 농구를 즐길 수 있습니다.	65000	40	1	0	
18	1,6,8	데드 바이 데드라이트	3	데드 바이 데이라이트는 한 명의 플레이어가 생존자를 고문하고 죽이려는 잔학한 살인마의 역할을 담당하고, 나머지 네 명의 플레이어는 살인마로부터 도망치려는 생존자로 플레이하는 (4vs1) 공포게임 입니다.	21000	0	0	1	
