게임구매번호	회원번호	게임번호	구매가격	구매날짜
1	20	38	43000	2022-05-01
2	11	18	21000	2022-05-02
3	7	22	27000	2022-05-03
4	15	38	43000	2022-05-03
5	19	17	65000	2022-05-03
6	13	5	0	2022-05-04
7	11	31	16000	2022-05-04
8	16	31	16000	2022-05-04
9	1	13	0	2022-05-04
10	13	22	27000	2022-05-06
11	3	38	43000	2022-05-06
12	18	31	16000	2022-05-06
13	20	33	29900	2022-05-06
14	12	32	45000	2022-05-08
15	7	17	65000	2022-05-08
16	17	2	0	2022-05-09
17	10	33	29900	2022-05-09
18	9	28	26000	2022-05-10
19	5	9	46000	2022-05-12
20	12	21	49800	2022-05-12
21	11	13	0	2022-05-12
22	1	34	0	2022-05-13
23	5	19	43800	2022-05-14
24	13	29	36000	2022-05-15
25	15	35	0	2022-05-15
26	9	35	0	2022-05-16
27	13	1	0	2022-05-16
28	3	7	33000	2022-05-17
29	11	30	0	2022-05-18
30	5	18	21000	2022-05-19
31	12	4	0	2022-05-19
32	19	9	46000	2022-05-19
33	14	20	31000	2022-05-19
34	7	21	49800	2022-05-21
35	3	39	65000	2022-05-21
36	17	34	0	2022-05-21
37	3	14	66000	2022-05-22
38	8	7	33000	2022-05-23
39	10	22	27000	2022-05-23
40	3	15	10500	2022-05-24
41	9	26	66800	2022-05-24
42	4	2	0	2022-05-24
43	7	2	0	2022-05-24
44	5	27	68800	2022-05-26
45	11	24	15500	2022-05-26
46	4	35	0	2022-05-27
47	9	30	0	2022-05-27
48	5	28	26000	2022-05-29
49	19	26	66800	2022-05-30
50	16	3	34900	2022-05-30
51	5	4	0	2022-05-31
52	17	1	0	2022-05-31
53	8	17	65000	2022-06-03
54	3	17	65000	2022-06-04
55	13	34	0	2022-06-04
56	10	29	36000	2022-06-05
57	9	20	31000	2022-06-05
58	7	25	0	2022-06-05
59	3	4	0	2022-06-06
60	7	7	33000	2022-06-06
61	4	14	66000	2022-06-07
62	14	19	43800	2022-06-07
63	13	25	0	2022-06-07
64	6	19	43800	2022-06-08
65	8	25	0	2022-06-08
66	7	27	68800	2022-06-09
67	16	26	66800	2022-06-09
68	18	39	65000	2022-06-09
69	14	18	21000	2022-06-10
70	1	19	43800	2022-06-10
71	6	20	31000	2022-06-10
72	12	24	15500	2022-06-12
73	9	4	0	2022-06-14
74	17	9	46000	2022-06-14
75	2	8	22500	2022-06-14
76	1	12	66000	2022-06-14
77	7	6	64800	2022-06-16
78	7	10	0	2022-06-16
79	20	28	26000	2022-06-17
80	18	24	15500	2022-06-17
81	10	2	0	2022-06-18
82	10	9	46000	2022-06-20
83	19	29	36000	2022-06-20
84	12	3	34900	2022-06-20
85	1	8	22500	2022-06-21
86	2	12	66000	2022-06-21
87	11	34	0	2022-06-23
88	15	24	15500	2022-06-23
89	6	10	0	2022-06-24
90	14	23	10500	2022-06-25
91	13	12	66000	2022-06-25
92	11	36	31000	2022-06-26
93	9	17	65000	2022-06-26
94	17	25	0	2022-06-26
95	20	25	0	2022-06-26
96	14	27	68800	2022-06-27
97	11	6	64800	2022-06-29
98	11	25	0	2022-07-01
99	17	40	59900	2022-07-01
100	11	20	31000	2022-07-02
101	13	37	48750	2022-07-03
102	6	1	0	2022-07-04
103	1	10	0	2022-07-04
104	15	36	31000	2022-07-05
105	11	37	48750	2022-07-05
106	12	16	22000	2022-07-07
107	9	16	22000	2022-07-09
108	5	14	66000	2022-07-10
