번호	회원번호	카드번호
1	18	17
2	3	13
3	3	33
4	19	21
5	15	32
6	14	36
7	7	35
8	19	17
9	17	29
10	15	10
11	4	6
12	14	22
13	14	17
14	16	1
15	3	19
16	10	9
17	10	20
18	1	18
19	15	29
20	12	23
21	2	1
22	18	1
23	17	10
24	7	36
25	11	4
26	5	19
27	5	18
28	11	9
29	5	3
30	1	17
31	12	19
32	20	8
33	5	23
34	19	2
35	12	25
36	14	34
37	2	23
38	19	26
39	4	32
40	3	30
41	1	21
42	3	3
43	7	9
44	2	7
45	3	24
46	3	10
47	17	29
48	9	10
49	2	16
50	3	31
51	5	36
52	12	1
53	13	2
54	6	24
55	19	4
56	12	4
57	8	28
58	7	21
59	20	1
60	2	36
61	8	7
62	8	18
63	5	24
64	18	27
65	11	15
66	11	19
67	19	33
68	2	21
69	14	26
70	2	1
71	3	2
72	13	21
73	5	13
74	18	31
75	11	18
76	11	21
77	3	4
78	6	18
79	7	18
80	9	8
81	1	28
82	13	20
83	2	22
84	15	15
85	12	2
86	5	27
87	14	25
88	7	23
89	18	10
90	16	24
91	12	13
92	12	21
93	14	31
94	17	20
95	7	6
96	6	11
97	12	30
98	16	1
99	13	8
100	9	29
101	15	1
102	16	26
103	5	21
104	10	11
105	15	4
106	12	31
107	19	32
108	11	12
109	15	17
110	8	13
111	11	10
112	3	1
113	9	32
114	7	4
115	11	12
116	3	14
117	17	16
118	3	29
119	14	26
120	13	26
121	13	16
122	15	28
123	19	15
124	13	21
125	7	18
126	12	17
127	13	36
128	6	1
129	3	26
130	16	23
131	19	35
132	7	25
133	7	23
134	15	19
135	17	9
136	12	15
137	13	18
138	18	2
139	16	22
140	17	36
141	15	33
142	14	32
143	6	8
144	4	34
145	20	36
146	11	7
147	9	13
148	2	5
149	15	2
150	18	25
151	13	31
152	19	30
153	4	34
154	19	18
155	18	34
156	19	6
157	6	34
158	4	16
159	5	1
160	1	22
161	3	2
162	8	24
163	9	34
164	18	18
165	1	36
166	19	36
167	19	34
168	16	10
169	14	19
170	13	6
171	15	3
172	18	14
173	17	27
174	15	32
175	15	12
176	4	18
177	8	5
178	20	35
179	2	4
180	7	15
181	3	15
182	14	9
183	8	31
184	19	17
185	18	35
186	2	8
187	2	18
188	20	26
189	18	17
190	9	11
191	13	26
192	9	6
193	13	13
194	1	10
195	1	11
196	4	34
197	12	3
198	7	7
199	13	27
200	11	15
201	8	1
202	3	32
203	19	15
204	14	23
205	12	20
206	7	4
207	5	27
208	9	14
209	3	1
210	8	30
211	3	13
212	6	13
213	20	5
214	12	13
215	16	29
216	6	19
217	8	24
218	3	24
219	12	20
220	19	14
221	12	17
222	16	33
223	5	7
224	14	18
225	12	29
226	12	4
227	7	34
228	17	7
229	1	9
230	10	8
231	2	10
232	4	26
233	14	12
234	18	32
235	16	9
236	7	10
237	19	10
238	16	13
239	10	33
240	15	33
241	15	4
242	16	19
243	18	15
244	15	32
245	7	36
246	7	22
247	5	6
248	11	36
249	9	20
250	13	3
251	17	11
252	6	16
253	15	31
254	20	22
255	12	29
256	17	1
257	17	23
258	7	4
259	8	33
260	13	25
261	13	10
262	19	36
263	14	26
264	6	1
265	13	29
266	15	36
267	19	31
268	10	25
269	20	30
270	12	5
271	16	8
272	20	20
273	12	12
274	16	16
275	7	27
276	15	16
277	16	28
278	17	14
279	20	11
280	4	23
281	11	13
282	5	23
283	11	36
284	11	29
285	2	5
286	7	9
287	15	5
288	6	30
289	2	35
290	3	14
291	8	21
292	10	6
293	5	34
294	6	20
295	20	9
296	14	19
297	3	32
298	17	24
299	4	20
300	19	35
301	9	15
302	13	30
303	20	25
304	7	8
305	17	19
306	13	24
307	18	12
308	14	20
309	17	34
310	6	8
311	2	24
312	14	1
313	10	4
314	5	12
315	11	6
316	11	12
317	17	1
318	13	4
319	10	2
320	17	31
321	20	25
322	10	14
323	11	8
324	15	1
325	14	21
326	1	16
327	11	6
328	15	12
329	9	4
330	7	3
331	5	27
332	2	27
333	1	24
334	5	13
335	11	35
336	20	22
337	5	19
338	10	2
339	10	30
340	4	28
341	1	31
342	9	8
343	16	2
344	15	4
345	14	18
346	10	3
347	15	31
348	6	31
349	2	17
350	15	27
351	6	7
352	6	27
353	7	29
354	13	8
355	8	27
356	5	35
357	12	31
358	12	16
359	9	16
360	9	35
361	12	21
362	14	5
363	1	8
364	2	17
365	16	4
366	20	4
367	4	8
368	17	15
369	4	3
370	11	34
371	10	25
372	10	29
373	4	32
374	3	31
375	2	6
376	20	21
377	12	21
378	19	24
379	8	15
380	2	3
381	1	6
382	7	32
383	11	27
384	4	9
385	9	3
386	2	4
387	17	1
388	6	34
389	4	33
390	17	32
391	13	15
392	1	1
393	15	32
394	4	7
395	19	10
396	19	30
397	7	24
398	13	29
399	9	2
400	6	23
401	17	31
402	8	14
403	16	10
404	6	17
405	3	33
406	19	30
407	8	8
408	16	13
409	19	25
410	17	33
411	11	13
412	2	1
413	9	33
414	7	14
415	8	33
416	6	32
