m_no,m_title,m_synopsis,g_no,m_time,m_open,m_director
1,1917,두 명의 병사 하나의 미션!\n그들이 싸워야 할 것은 적이 아니라 시간이었다!\n\n제1차 세계대전이 한창인 1917년.\n독일군에 의해 모든 통신망이 파괴된 상황 속에서\n영국군 병사 '스코필드'(조지 맥케이)와 '블레이크'(딘-찰스 채프먼)에게 하나의 미션이 주어졌다.\n\n함정에 빠진 영국군 부대의 수장 '매켄지' 중령(베네딕트 컴버배치)에게\n'에린무어' 장군(콜린 퍼스)의 공격 중지 명령을 전하는 것!\n\n둘은 1600명의 아군과 '블레이크'의 형(리차드 매든)을 구하기 위해\n전쟁터 한복판을 가로지르며 사투를 이어가는데...,3.15,119,3,샘 멘데스
2,300: 전사의 귀한,로마 제국의 지배를 받던 브리튼은 로마 군대 철수 후 자유를 얻는다.\n그러나 계속되는 픽트족의 침략에 브리튼의 왕 '보티건'은 두려움에 사로잡힌다.\n픽트족에 맞설 만한 힘이 없는 보티건은 결국 색슨족과 동맹을 맺게 되고\n색슨족의 지배자들은 자신의 백성들을 이끌고 브리튼을 방문하는데...,1,90,3,크리스토퍼 포브스
3,아쿠아맨,땅의 아들이자 바다의 왕 심해의 수호자인 슈퍼히어로 아쿠아맨의 탄생을 그린 액션 블록버스터,1,143,2,제임스 완
4,400번의 구타,열 네 살 소년 무관심과 위선으로 가득 찬 세상에서 자유를 찾아나서다!\n열네 살 소년 앙트완은 마음 둘 곳이 없다. 엄마와 새아버지는 앙트완에게 무관심하고 딱히 말썽을 피우려 한 것도 아닌데 학교에선 선생님에게 문제 학생으로 찍혀버렸다. 유일한 위안은 가장 친한 친구 르네와 함께 학교를 빼먹고 영화관에 가거나 거리를 돌아다니는 것. 숙제를 빼먹고 무단 결석을 하는 등 갑갑한 현실을 벗어나고자 사소한 일탈을 일삼던 앙트완은 급기야 쪽지를 남긴 채 가출하고 가벼운 범죄를 저지르지만 냉혹한 어른들의 세상에서 그가 원하는 자유는 점점 멀어지기만 하는데…,3,100,3,프랑수아 트뤼포
5,7번방의 선물,흥행킹 류승룡! 세상에서 가장 사랑스러운 '딸바보'로 돌아오다!\n최악의 흉악범들이 모인 교도소 7번방에 이상한 놈이 들어왔다!\n그는 바로 6살 지능의 딸바보 '용구'!\n평생 죄만 짓고 살아온 7번방 패밀리들에게 떨어진 미션은 바로 '용구' 딸 '예승'이를 외부인 절대 출입금지인 교도소에 반.입.하.는.것!\n2013년 새해 웃음과 감동 가득한 사상초유의 합동작전이 시작된다!,3.6,127,3,이환경
6,가디언즈 오브 갤럭시,자칭 전설의 무법자 스타로드 그러나 현실은 우주를 떠도는 그저그런 좀도둑에 불과한 피터 퀼(크리스 프랫).\n뜻하지 않게 갤럭시의 절대악 타노스와 로난의 타겟이 된 그는 감옥에서 만난 암살자 가모라(조 샐다나) 거구의 파이터 드랙스(데이브 바티스타) 현상금 사냥꾼 로켓(브래들리 쿠퍼)과 그루트(빈 디젤) 콤비와 불편한 동맹을 맺고 일명 ‘가디언즈 오브 갤럭시’를 결성한다.\n범상치 않은 화려한 과거를 지닌 이들이 과연 120억 명의 운명을 구할 유일한 희망이 될 수 있을까?\n\n흩어지면 무법자 뭉치면 히어로\n차원이 다른 마블의 새로운 세계를 목격하라!,1.9.12,120,2,제임스 건
7,가디언즈 오브 갤럭시 VOL. 2,지구엔 ‘어벤져스’ 우주엔 ‘가.오.갤’이 있다!\n\n최강 빌런 ‘타노스’에 맞서 은하계를 구하고 최고의 해결사로 등극한 ‘가.오.갤’ 멤버들.\n하지만 외계 여사제 ‘아이샤’가 맡긴 임무를 수행하던 중\n실수로 또 다시 쫓기는 신세로 전락한다.\n한편 자신에게 숨겨진 힘의 원천에 대해 고민하던 리더 ‘스타로드’는\n갑작스레 나타난 아버지로 인해 또 다른 위기에 빠지게 되는데…,1.9,135,2,제임스 건
8,가을 소나타,아름다운 엄마 외로운 딸... 그들이 펼치는 화해의 이중주\n\n어느 가을날 목사의 아내 에바(리브 울만)는 유명 피아니스트인 어머니 샬롯(잉그리드 버그만)을 집으로 초대한다. 연주 여행차 전세계를 순회하느라 바쁜 샬롯은 최근 오랜 연인 레오나르도의 죽음으로 상심한 상태다. 7년 만에 어머니를 만난 에바는 반갑게 샬롯을 맞이하지만 샬롯이 미처 몰랐던 사실을 이야기하면서 둘 사이가 서먹해진다. 심각한 신체 장애를 가진 채 요양원에 방치되어 있던 여동생 헬레나가 2년 전부터 에바의 집에서 함께 지내고 있었던 것. 샬롯은 예술가로서 명성과 경력을 위해 자식들을 돌보지 않고 일에만 몰두해 왔던 것이다. 자의식 강한 샬롯은 자신의 선택을 애써 정당화하려 하지만 에바는 무책임한 샬롯에 대한 원망과 애증을 안고 있다. 마침내 두 모녀는 오래 묵혀두었던 서로의 상처를 드러내며 감정적 회오리를 겪는다,3,93,2,잉마르 베리만
9,겨울왕국,얼어붙은 세상을 녹일 자매가 온다!\n\n서로가 최고의 친구였던 자매 ‘엘사’와 ‘안나’. 하지만 언니 ‘엘사’에게는 하나뿐인 동생에게조차 말 못할 비밀이 있다. 모든 것을 얼려버리는 신비로운 힘이 바로 그것. ‘엘사’는 통제할 수 없는 자신의 힘이 두려워 왕국을 떠나고 얼어버린 왕국의 저주를 풀기 위해 ‘안나’는 언니를 찾아 환상적인 여정을 떠나는데……,2.5.11.12.13.17,108,1,크리스 벅
10,겨울왕국 2,내 마법의 힘은 어디서 왔을까?\n나를 부르는 저 목소리는 누구지?\n\n어느 날 부턴가 의문의 목소리가 엘사를 부르고 평화로운 아렌델 왕국을 위협한다.\n트롤은 모든 것은 과거에서 시작되었음을 알려주며 엘사의 힘의 비밀과 진실을 찾아 떠나야한다고 조언한다.\n\n위험에 빠진 아렌델 왕국을 구해야만 하는 엘사와 안나는 숨겨진 과거의 진실을 찾아\n크리스토프 올라프 그리고 스벤과 함께 위험천만한 놀라운 모험을 떠나게 된다.\n자신의 힘을 두려워했던 엘사는 이제 이 모험을 헤쳐나가기에 자신의 힘이 충분하다고 믿어야만 하는데…\n\n11월 두려움을 깨고 새로운 운명을 만나다!,2,103,1,크리스 벅
11,관상,사람의 얼굴에는 세상 삼라만상이 모두 다 들어있소이다!\n얼굴을 보면 그 사람의 모든 것을 꿰뚫어보는 천재 관상가 내경. 처남 ‘팽헌’ 아들 ‘진형’과 산속에 칩거하고 있던 그는 관상 보는 기생 ‘연홍’의 제안으로 한양으로 향하고 연홍의 기방에서 사람들의 관상을 봐주는 일을 하게 된다. 용한 관상쟁이로 한양 바닥에 소문이 돌던 무렵 ‘내경’은 ‘김종서’로부터 사헌부를 도와 인재를 등용하라는 명을 받아 궁으로 들어가게 되고 ‘수양대군’이 역모를 꾀하고 있음을 알게 된 그는 위태로운 조선의 운명을 바꾸려 한다.,3.14,139,3,한재림
12,광해 왕이 된 남자,역사에 기록되지 않은 또 한 명의 광해\n\n왕위를 둘러싼 권력 다툼과 당쟁으로 혼란이 극에 달한 광해군 8년. 자신의 목숨을 노리는 자들에 대한 분노와 두려움으로 점점 난폭해져 가던 왕 ‘광해’는 도승지 ‘허균’에게 자신을 대신하여 위협에 노출될 대역을 찾을 것을 지시한다. 이에 허균은 기방의 취객들 사이에 걸쭉한 만담으로 인기를 끌던 하선을 발견한다. 왕과 똑같은 외모는 물론 타고난 재주와 말솜씨로 왕의 흉내도 완벽하게 내는 하선. 영문도 모른 채 궁에 끌려간 하선은 광해군이 자리를 비운 하룻밤 가슴 조이며 왕의 대역을 하게 된다.\n\n왕이 되어선 안 되는 남자 조선의 왕이 되다!\n\n그러던 어느 날 광해군이 갑자기 의식을 잃고 쓰러지는 엄청난 사건이 발생하고 허균은 광해군이 치료를 받는 동안 하선에게 광해군을 대신하여 왕의 대역을 할 것을 명한다. 저잣거리의 한낱 만담꾼에서 하루아침에 조선의 왕이 되어버린 천민 하선. 허균의 지시 하에 말투부터 걸음걸이 국정을 다스리는 법까지 함부로 입을 놀려서도 들켜서도 안 되는 위험천만한 왕노릇을 시작한다. 하지만 예민하고 난폭했던 광해와는 달리 따뜻함과 인간미가 느껴지는 달라진 왕의 모습에 궁정이 조금씩 술렁이고 점점 왕의 대역이 아닌 자신의 목소리를 내기 시작하는 하선의 모습에 허균도 당황하기 시작하는데...,3.14,131,3,추창민
13,괴물,햇살 가득한 평화로운 한강 둔치아버지(변희봉)가 운영하는 한강매점 늘어지게 낮잠 자던 강두(송강호)는 잠결에 들리는 ‘아빠’라는 소리에 벌떡 일어난다. 올해 중학생이 된 딸 현서(고아성)가 잔뜩 화가 나있다. 꺼내놓기도 창피한 오래된 핸드폰과학부모 참관 수업에 술 냄새 풍기며 온 삼촌(박해일)때문이다. 강두는 고민 끝에 비밀리에 모아 온 동전이 가득 담긴 컵라면 그릇을 꺼내 보인다. 그러나 현서는 시큰둥할 뿐 막 시작된 고모(배두나)의 전국체전 양궁경기에 몰두해 버린다.\n눈 앞에서 내 딸을 잃었다한강 둔치로 오징어 배달을 나간 강두 우연히 웅성웅성 모여있는 사람들 속에서 특이한 광경을 목격하게 된다. 생전 보도 못한 무언가가 한강다리에 매달려 움직이는 것이다. 사람들은 마냥 신기해하며 핸드폰 디카로 정신없이 찍어댄다. 그러나 그것도 잠시… 정체를 알 수 없는 괴물은 둔치 위로 올라와 사람들을 거침없이 깔아뭉개고 무차별로 물어뜯기 시작한다. 순식간에 아수라장으로 돌변하는 한강변. 강두도 뒤늦게 딸 현서를 데리고 정신없이 도망가지만 비명을 지르며 흩어지는 사람들 속에서 꼭 잡았던 현서의 손을 놓치고 만다. 그 순간 괴물은 기다렸다는 듯이 현서를 낚아채 유유히 한강으로 사라진다.\n가족의 사투가 시작된다갑작스런 괴물의 출현으로 한강은 모두 폐쇄되고 도시 전체는 마비된다. 하루아침에 집과 생계 그리고 가장 소중한 현서까지 모든 것을 잃게 된 강두 가족…돈도 없고 빽도 없는 그들은 아무도 도와주지 않지만 위험구역으로 선포된 한강 어딘가에 있을 현서를 찾아 나선다.,3.9.13,119,2,봉준호
14,국제시장,덕수(황정민)의 가족은 흥남 철수 때 부산 국제시장에 내려온 피난민이다. 전쟁통에 아버지를 잃은 덕수는 졸지에 어머니와 두 동생의 생계를 책임지게 됐다. 동생의 학비와 생활비를 벌기 위해 자신의 꿈을 버린 채 친구 달구(오달수)와 함께 서독의 탄광으로 베트남전으로 뛰어들어야 했던 덕수. 덕분에 사랑하는 아내 영자(김윤진)를 만날 수 있었고 토끼 같은 자식들을 대학에 보낼 수 있었지만 그의 인생에서 '그'는 한번도 없었다.,3,126,2,윤제균
15,굿 윌 헌팅,“윌 네 잘못이 아니야.”\n\n수학 법학 역사학 등 모든 분야에 재능이 있는 ‘윌’(맷 데이먼)은\n천재적인 두뇌를 가지고 있지만 어린 시절 받은 상처로 인해\n세상에 마음을 열지 못하는 불우한 반항아.\n\n절친인 ‘처키’(벤 애플렉)와 어울리던\n‘윌’의 재능을 알아본 MIT 수학과 ‘램보’ 교수는\n대학 동기인 심리학 교수 ‘숀’(로빈 윌리엄스)에게 그를 부탁하게 되고\n거칠기만 하던 ‘윌’은 ‘숀’과 함께 시간을 보낼수록\n상처를 위로 받으며 조금씩 변화하기 시작하는데,3,126,3,구스 반 산트
