b_no	division	b_name	b_temperature	b_note	b_img
1	1	배추	13	잎이 여러 겹으로 포개져 자라는데 가장자리가 물결 모양으로 속은 누런 흰색이고 겉은 녹색이다	
2	1	양상추	24	잎이 둥글고 넓으며 양배추처럼 결구성인 개량종 상추이다	
3	1	셀러리	25	6~9월에 흰색 꽃이 피고 전체에 향기가 있어 식용으로 재배한다	
4	1	청경채	13	잎은 둥글고 녹색이며 잎줄기는 두껍고 연녹색을 띠는 채소이다	
5	1	치커리	3	연하고 흰 싹은 샐러드로, 뿌리는 커피의 혼합물로 쓴다	
6	1	양배추	13	고갱이가 뭉쳐 큰 공 모양을 이루며 식용한다.	
7	1	고추	7	긴 원뿔 모양으로 처음에는 초록색이나 익을수록 빨갛게 된다	
8	1	양파	1	땅속의 비늘줄기는 매운맛과 특이한 향기가 있어서 널리 식용한다. 페르시아가 원산지이다.	
9	1	오이	21	단단하고 독특한 향이 있으며 시원한 맛이 있다	
10	1	가지	26	흔히 검은 자줏빛으로 긴 원통 모양이며, 익혀서 반찬으로 쓴다.	
11	1	토마토	1	명사 식물 가짓과의 한해살이풀. 높이는 1~1.5미터이며, 잎은 어긋나고 우상 복엽이다	
12	1	브로콜리	12	콜리플라워의 한 변종이다. 잎겨드랑이에서 나오는 꽃봉오리도 식용한다는 것이 콜리플라워와 다른 점이다	
13	1	파프리카	4	바닥은 오목하고 세로로 골이 진다. 단맛과 아삭아삭한 질감이 있으며, 식용한다	
14	1	피망	22	매운맛이 별로 없으며, 풋것은 여러 가지로 조리하여 먹고 완전히 익어 붉은 것은 향신료로 사용한다	
15	1	파슬리	9	노란색을 띤 녹색 꽃이 복산형 화서로 피고 열매는 달걀 모양의 삭과를 맺는다	
16	1	대파	15	파의 하나. 잎의 수가 많은 계통의 것을 연화법으로 재배한 것이다.	
17	1	콩나물	18	콩을 물이 잘 빠지는 그릇 따위에 담아 그늘에 두고 물을 주어 자라게 한 것. 또는 그것으로 만든 나물.	
18	1	고수	16	잎과 줄기는 동부 유럽이 원산지로 절에서 많이 재배한다.	
19	1	단호박	10	호박 가운데 맛이 달아 식용으로 재배하는 호박을 이르는 말.	
20	1	무	21	깃 모양으로 뿌리에서 뭉쳐나고 뿌리는 둥글고 길다	
21	1	당근	28	잎은 뿌리에서 나고 우상 복엽이다. 여름에 흰 꽃이 줄기 끝에 복산형 화서로 피고, 원뿔 모양의 불그레한 뿌리는 식용한다	
22	1	호박	18	박과의 한해살이 덩굴풀. 덩굴은 단면이 오각형이며 덩굴손으로 감으면서 자란다	
23	1	마늘	9	예로부터 강장제로 널리 쓰였는데 잎, 꽃줄기, 비늘줄기에 독특한 냄새가 있어 양념과 반찬에 널리 쓴다	
24	1	생강	29	뿌리는 맵고 향기가 좋아서 향신료와 건위제로 쓰인다	
25	1	케일	19	잎은 긴 타원형으로 두껍게 자라고 오글쪼글하며, 비타민과 무기염류가 많이 함유되어 있다.	
26	1	쑥갓	14	잎은 어긋나고 깃 모양으로 갈라진다. 여름에 노란색 또는 흰색 꽃이 피고 냄새가 향긋하다	
27	1	시금치	4	철분이 많아 데쳐서 무쳐 먹거나 국으로 끓여 먹는다	
28	1	고사리	30	어린잎은 식용하고 뿌리줄기는 녹말을 만든다.	
29	1	우엉	7	뿌리와 어린잎은 식용하고 씨는 약용한다. 유럽이 원산지로 일본에서 많이 재배하고 시베리아, 만주 등지에 분포한다	
30	1	바질	24	전체에 향기와 매운맛이 있어 향신료나 방향제로 쓴다. 열대 아시아에 분포하고 재배하기도 한다.	
31	1	아스파라거스	9	종자는 검은색이며 어린줄기와 순은 식용한다. 유럽이 원산지로 서늘한 기후에서 잘 자란다.	
32	1	토란	3	윗부분은 암꽃, 아랫부분은 수꽃이 핀다. 뿌리줄기는 잎자루와 함께 식용한다	
33	1	칡	28	뿌리의 녹말은 식용하고 뿌리는 약용한다	
34	1	죽순	7	대의 땅속줄기에서 돋아나는 어린싹. 식용한다.	
35	2	바나나	20	초승달 모양의 긴 타원형으로 색깔은 주로 누런색이다. 맛과 향기가 좋다.	
36	2	딸기	14	날로 먹거나 잼을 만들어 먹는다. 남미가 원산지이다.	
37	2	블루베리	1	달고 신 맛이 있어 생으로 먹거나 잼, 주스 따위를 만든다	
38	2	복숭아	1	품종에 따라 크고 작은 것이 있는데, 시고 단 맛이 있으며 담홍색으로 익는다.	
39	2	포도	5	포도당, 비타민 따위가 함유되어 있으며 맛은 달고 새큼하다. 날로 먹거나 건포도 또는 포도주로 가공하여 먹는다.	
40	2	무화과	26	가을에 익으며 식용한다. 잎은 단백질, 고무질 따위를 함유한다	
41	2	매실	28	맛은 달면서도 새콤하다.	
42	2	체리	17	서양 버찌. 주로 양벚나무나 신양벚나무의 열매를 이른다.	
43	2	감	13	모양은 둥글거나 둥글넓적하고 빛이 붉다. 익기 전에는 떫은맛이 나지만 익으면 단맛이 나며 그대로 먹기도 하고 껍질을 벗겨 곶감을 만들기도 한다.	
44	2	배	13	껍질은 누르께한 빛을 띠고 과육은 희고 단단하면서 단맛이 나는 과일	
45	2	사과	1	사과는 절임, 잼, 빵 등 다양한 요리의 재료로 쓰이는 과일이다	
46	2	석류	15	과육을 까보면 노르스름한 속껍질 안에 각진 물방울 모양의 작은 종자들이 빼곡히 붙어있는데, 껍질을 제거하고 종자들을 먹거나, 하나하나 껍질에서 종자들을 떼어먹으면 된다	
47	2	귤	22	감귤나무 열매로 모양은 둥글납작하고 빛깔은 주황 혹은 붉은색이다. 수분이 풍부하고 맛이 매우 달아 인류에게 오랜 기간 사랑받고 있다	
