f_no	u_no	b_no	f_amount	f_quantity
1	1	22	2048	32
2	1	30	4380	40
3	1	14	3384	29
4	1	7	705	24
5	1	1	1072	32
6	1	18	1359	36
7	1	23	4734	39
8	1	5	4851	35
9	1	9	4506	31
10	1	31	4268	21
11	1	19	943	36
12	1	29	4903	22
13	1	4	4327	24
14	1	33	1150	37
15	1	12	1024	21
16	1	34	4202	38
17	1	3	2994	29
18	1	24	1228	21
19	1	17	3710	31
20	2	25	2690	28
21	2	21	1341	30
22	2	5	1746	28
23	2	11	935	37
24	2	33	4223	30
25	2	24	916	33
26	2	31	3315	23
27	2	14	690	21
28	2	32	2080	35
29	2	8	1114	35
30	2	13	3733	37
31	2	10	522	21
32	2	7	3685	40
33	2	26	1434	33
34	2	23	3407	31
35	2	1	4653	33
36	2	19	1761	40
37	3	31	1762	23
38	3	25	2107	26
39	3	30	3214	34
40	3	5	2559	39
41	3	24	1838	27
42	3	9	1787	21
43	3	32	1400	37
44	3	27	963	28
45	3	10	2783	20
46	3	21	2826	20
47	3	26	2282	25
48	3	14	2399	34
49	3	2	1421	33
50	3	23	3870	30
51	3	29	3765	40
52	3	8	2055	34
53	3	33	568	35
54	3	20	1878	24
55	3	11	2792	36
56	3	28	2861	35
57	4	34	1360	23
58	4	13	4664	21
59	4	25	544	20
60	4	10	587	30
61	4	18	2819	22
62	4	12	3521	35
63	4	31	753	26
64	4	23	1976	25
65	4	9	2069	21
66	4	2	3944	23
67	4	21	2014	32
68	4	24	1359	25
69	4	28	2524	21
70	4	1	2844	23
71	4	20	2189	24
72	4	29	1462	32
73	4	11	1347	34
74	4	15	3130	37
75	5	15	1308	21
76	5	3	4888	24
77	5	19	4714	25
78	5	30	3815	37
79	5	24	2070	25
80	5	26	590	25
81	5	28	580	20
82	5	11	1479	39
83	5	33	2496	35
84	5	18	3918	39
85	5	9	1064	29
86	5	29	1492	31
87	5	23	1590	40
88	5	7	3674	27
89	5	13	1453	32
90	5	25	980	31
91	5	16	2472	33
92	5	22	1107	28
93	5	31	3583	37
94	5	17	3551	26
95	5	2	1813	37
96	5	32	2448	20
97	5	5	4578	21
98	6	34	3522	28
99	6	26	2028	35
100	6	2	2507	27
101	6	18	1499	37
102	6	25	1645	25
103	6	27	3035	29
104	6	23	4946	35
105	6	22	1781	28
106	6	9	4230	39
107	6	11	2604	38
108	6	8	4810	25
109	6	17	1959	21
110	6	21	2106	38
111	6	29	2032	40
112	6	24	4216	37
113	6	12	2424	32
114	6	28	2273	21
115	6	3	2088	20
116	7	7	3229	39
117	7	26	2698	26
118	7	15	4247	27
119	7	34	2913	29
120	7	18	3983	37
121	7	3	3117	39
122	7	30	1716	21
123	7	27	3622	32
124	7	5	3256	36
125	7	11	1579	32
126	7	21	1744	30
127	7	12	4942	31
128	7	1	1750	23
129	7	2	3316	31
130	7	33	1621	38
131	7	8	521	20
132	7	31	3814	20
133	7	17	1806	27
134	7	9	3979	35
135	7	25	3789	33
136	7	6	1658	21
137	7	32	3807	37
138	8	16	4025	30
139	8	25	510	40
140	8	18	3872	24
141	8	9	3693	39
142	8	4	4581	23
143	8	10	2434	34
144	8	29	4814	21
145	8	3	1750	22
146	8	5	4591	35
147	8	20	2836	40
148	8	32	4850	32
149	8	21	2211	35
150	8	13	3390	31
151	8	11	3469	32
152	8	6	1057	32
153	8	14	972	39
154	8	28	2767	39
155	8	15	2918	34
156	8	31	1474	35
157	9	3	1689	27
158	9	20	1731	40
159	9	25	4705	32
160	9	33	2727	30
161	9	6	4133	23
162	9	9	1020	22
163	9	2	2112	26
164	9	32	4081	34
165	9	7	3559	20
166	9	31	1170	36
167	9	12	2042	25
168	9	15	627	34
169	9	17	2544	22
170	9	23	4692	39
171	9	30	2008	35
172	9	28	3238	37
173	9	13	3351	39
174	9	11	660	32
175	9	10	1707	40
176	9	18	2823	37
177	9	16	3489	30
178	9	34	4346	22
179	9	14	4515	37
180	9	27	4778	31
181	10	14	3813	23
182	10	7	3632	32
183	10	18	3440	37
184	10	34	2393	38
185	10	10	2800	30
186	10	26	4495	20
187	10	11	3179	21
188	10	13	1427	34
189	10	27	2275	36
190	10	3	2904	32
191	10	20	1931	23
192	10	30	1696	27
193	10	16	1687	28
194	10	1	4015	36
195	10	33	1229	31
196	10	28	1940	24
197	10	32	3775	32
198	10	6	3672	22
199	10	19	585	34
