p_no	u_no	f_no	p_date	p_quantity
1	10	2499	2022-01-01	1
2	33	4055	2022-01-01	1
3	75	3398	2022-01-01	3
4	113	3918	2022-01-01	1
5	123	2399	2022-01-01	1
6	144	200	2022-01-01	3
7	152	1584	2022-01-01	5
8	176	698	2022-01-01	6
9	185	1368	2022-01-01	6
10	191	1850	2022-01-01	7
11	196	1914	2022-01-01	2
12	215	1278	2022-01-01	5
13	221	2151	2022-01-01	6
14	233	620	2022-01-01	6
15	9	2570	2022-01-02	7
16	48	3359	2022-01-02	5
17	68	3120	2022-01-02	9
18	121	3444	2022-01-02	5
19	139	1129	2022-01-02	2
20	140	1145	2022-01-02	1
21	143	937	2022-01-02	7
22	144	2025	2022-01-02	9
23	148	1876	2022-01-02	9
24	151	507	2022-01-02	3
25	178	142	2022-01-02	5
26	179	2141	2022-01-02	8
27	191	60	2022-01-02	4
28	198	593	2022-01-02	9
29	201	373	2022-01-02	3
30	219	444	2022-01-02	3
31	222	1587	2022-01-02	5
32	224	1098	2022-01-02	4
33	5	3850	2022-01-03	8
34	21	3054	2022-01-03	6
35	33	4027	2022-01-03	10
36	65	3830	2022-01-03	7
37	71	4256	2022-01-03	5
38	87	3411	2022-01-03	3
39	124	3594	2022-01-03	1
40	139	930	2022-01-03	6
41	148	766	2022-01-03	9
42	166	907	2022-01-03	3
43	203	653	2022-01-03	6
44	229	945	2022-01-03	10
45	26	2294	2022-01-04	7
46	27	2423	2022-01-04	5
47	45	3189	2022-01-04	4
48	108	2925	2022-01-04	2
49	119	2602	2022-01-04	6
50	128	518	2022-01-04	3
51	148	1205	2022-01-04	3
52	157	1911	2022-01-04	3
53	171	274	2022-01-04	2
54	174	1599	2022-01-04	9
55	183	115	2022-01-04	6
56	199	822	2022-01-04	10
57	204	762	2022-01-04	7
58	216	1121	2022-01-04	10
59	7	2837	2022-01-05	8
60	17	3810	2022-01-05	4
61	40	3584	2022-01-05	7
62	45	3719	2022-01-05	4
63	49	3320	2022-01-05	8
64	55	3672	2022-01-05	8
65	58	3173	2022-01-05	8
66	72	3765	2022-01-05	7
67	102	3869	2022-01-05	1
68	122	2995	2022-01-05	8
69	170	1480	2022-01-05	3
70	213	214	2022-01-05	3
71	213	899	2022-01-05	3
72	223	1732	2022-01-05	8
73	7	2164	2022-01-06	3
74	21	4350	2022-01-06	2
75	29	3864	2022-01-06	7
76	30	2180	2022-01-06	3
77	140	1001	2022-01-06	10
78	210	1257	2022-01-06	2
79	220	1118	2022-01-06	6
80	41	4280	2022-01-07	4
81	85	3072	2022-01-07	5
82	86	3596	2022-01-07	7
83	109	4329	2022-01-07	7
84	114	3181	2022-01-07	10
85	125	2099	2022-01-07	6
86	126	456	2022-01-07	3
87	187	300	2022-01-07	10
88	195	1218	2022-01-07	10
89	206	2024	2022-01-07	10
90	213	1313	2022-01-07	3
91	218	614	2022-01-07	4
92	6	2717	2022-01-08	2
93	29	3198	2022-01-08	2
94	33	4192	2022-01-08	4
95	83	3777	2022-01-08	7
96	84	3921	2022-01-08	10
97	146	811	2022-01-08	1
98	164	341	2022-01-08	10
99	220	335	2022-01-08	10
100	231	1726	2022-01-08	6
101	3	3544	2022-01-09	4
102	9	3876	2022-01-09	10
103	39	2201	2022-01-09	2
104	69	2805	2022-01-09	6
105	116	3041	2022-01-09	7
106	117	4004	2022-01-09	9
107	143	621	2022-01-09	7
108	200	1059	2022-01-09	1
109	206	1111	2022-01-09	7
110	216	1049	2022-01-09	2
111	223	605	2022-01-09	10
112	53	3108	2022-01-10	10
113	57	2806	2022-01-10	9
114	82	2952	2022-01-10	5
115	163	336	2022-01-10	2
116	175	1266	2022-01-10	5
117	210	1314	2022-01-10	8
118	212	1918	2022-01-10	9
119	224	1508	2022-01-10	4
120	32	3541	2022-01-11	4
121	50	4118	2022-01-11	1
122	67	3079	2022-01-11	7
123	90	3437	2022-01-11	7
124	98	3398	2022-01-11	9
125	130	913	2022-01-11	10
126	154	51	2022-01-11	8
127	175	277	2022-01-11	5
128	178	838	2022-01-11	5
129	17	3641	2022-01-12	7
130	33	3153	2022-01-12	10
131	61	2187	2022-01-12	5
132	81	2783	2022-01-12	2
133	84	3183	2022-01-12	7
134	96	2270	2022-01-12	3
135	110	2858	2022-01-12	10
136	126	368	2022-01-12	7
137	187	681	2022-01-12	6
138	205	1583	2022-01-12	3
139	213	2036	2022-01-12	4
140	219	750	2022-01-12	4
141	225	929	2022-01-12	5
142	229	1775	2022-01-12	5
143	39	4163	2022-01-13	9
144	44	3664	2022-01-13	1
145	87	3898	2022-01-13	4
146	114	2511	2022-01-13	2
147	116	4247	2022-01-13	2
148	121	2406	2022-01-13	7
149	163	1031	2022-01-13	2
150	175	50	2022-01-13	6
151	194	490	2022-01-13	1
152	212	1146	2022-01-13	2
153	214	458	2022-01-13	9
154	218	1563	2022-01-13	3
155	219	13	2022-01-13	7
156	220	1752	2022-01-13	1
157	226	1817	2022-01-13	9
158	15	4061	2022-01-14	5
159	48	3383	2022-01-14	5
160	53	4070	2022-01-14	6
