s_no	u_no	f_no	s_date	s_quantity
1	10	4045	2022-01-01	1
2	29	3504	2022-01-01	2
3	64	3861	2022-01-01	1
4	65	3511	2022-01-01	7
5	69	3591	2022-01-01	2
6	89	3941	2022-01-01	5
7	98	3404	2022-01-01	8
8	130	509	2022-01-01	2
9	178	1845	2022-01-01	6
10	191	1792	2022-01-01	3
11	67	4147	2022-01-02	1
12	84	3634	2022-01-02	6
13	174	1312	2022-01-02	10
14	207	1670	2022-01-02	3
15	212	188	2022-01-02	8
16	226	1586	2022-01-02	9
17	80	2187	2022-01-03	6
18	95	2498	2022-01-03	9
19	109	3369	2022-01-03	10
20	110	3550	2022-01-03	8
21	119	3432	2022-01-03	5
22	126	563	2022-01-03	10
23	148	453	2022-01-03	10
24	158	210	2022-01-03	7
25	159	602	2022-01-03	2
26	178	404	2022-01-03	5
27	194	1622	2022-01-03	6
28	194	1106	2022-01-03	1
29	195	369	2022-01-03	2
30	203	470	2022-01-03	3
31	231	1532	2022-01-03	4
32	7	2314	2022-01-04	1
33	17	3932	2022-01-04	2
34	28	3674	2022-01-04	4
35	41	2229	2022-01-04	1
36	46	3075	2022-01-04	8
37	63	2557	2022-01-04	10
38	64	3610	2022-01-04	7
39	88	3885	2022-01-04	9
40	97	2328	2022-01-04	7
41	99	2302	2022-01-04	1
42	178	377	2022-01-04	9
43	206	855	2022-01-04	1
44	220	506	2022-01-04	1
45	230	51	2022-01-04	10
46	9	3080	2022-01-05	8
47	22	4225	2022-01-05	6
48	33	3104	2022-01-05	1
49	45	2963	2022-01-05	7
50	57	3673	2022-01-05	2
51	96	4159	2022-01-05	10
52	107	3832	2022-01-05	10
53	112	3677	2022-01-05	9
54	165	963	2022-01-05	4
55	192	1582	2022-01-05	6
56	204	1836	2022-01-05	6
57	209	1429	2022-01-05	7
58	2	3120	2022-01-06	6
59	40	2297	2022-01-06	1
60	52	3620	2022-01-06	6
61	73	2423	2022-01-06	7
62	94	2559	2022-01-06	5
63	94	4117	2022-01-06	5
64	187	417	2022-01-06	8
65	2	3247	2022-01-07	1
66	9	2613	2022-01-07	9
67	20	4046	2022-01-07	1
68	31	2858	2022-01-07	2
69	42	3104	2022-01-07	9
70	43	3429	2022-01-07	8
71	86	3618	2022-01-07	6
72	145	268	2022-01-07	9
73	182	350	2022-01-07	10
74	188	1880	2022-01-07	8
75	209	461	2022-01-07	3
76	210	266	2022-01-07	8
77	220	2018	2022-01-07	3
78	232	2089	2022-01-07	5
79	18	2927	2022-01-08	2
80	19	2170	2022-01-08	8
81	29	3462	2022-01-08	1
82	34	2558	2022-01-08	1
83	43	4314	2022-01-08	3
84	73	3005	2022-01-08	2
85	97	3750	2022-01-08	2
86	111	3394	2022-01-08	3
87	136	1467	2022-01-08	8
88	139	126	2022-01-08	4
89	181	361	2022-01-08	10
90	182	172	2022-01-08	2
91	196	985	2022-01-08	6
92	207	1705	2022-01-08	10
93	23	2682	2022-01-09	2
94	31	3310	2022-01-09	1
95	58	3103	2022-01-09	2
96	70	2317	2022-01-09	9
97	72	4018	2022-01-09	5
98	81	2438	2022-01-09	8
99	159	1441	2022-01-09	1
100	172	1162	2022-01-09	10
101	186	108	2022-01-09	7
102	13	3917	2022-01-10	1
103	20	4052	2022-01-10	6
104	60	3548	2022-01-10	2
105	62	4249	2022-01-10	10
106	92	2543	2022-01-10	3
107	104	3736	2022-01-10	8
108	126	620	2022-01-10	7
109	152	845	2022-01-10	2
110	174	801	2022-01-10	5
111	192	189	2022-01-10	6
112	202	1988	2022-01-10	1
113	75	2979	2022-01-11	5
114	104	3285	2022-01-11	9
115	112	2159	2022-01-11	9
116	132	1690	2022-01-11	6
117	160	1079	2022-01-11	1
118	168	1752	2022-01-11	8
119	178	581	2022-01-11	9
120	220	332	2022-01-11	3
121	227	971	2022-01-11	5
122	17	3376	2022-01-12	9
123	111	3569	2022-01-12	6
124	146	706	2022-01-12	9
125	186	1228	2022-01-12	3
126	10	3727	2022-01-13	6
127	20	2894	2022-01-13	9
128	26	3617	2022-01-13	3
129	44	4101	2022-01-13	3
130	45	2610	2022-01-13	7
131	73	3740	2022-01-13	2
132	84	3108	2022-01-13	9
133	96	2168	2022-01-13	5
134	99	4368	2022-01-13	4
135	111	3128	2022-01-13	9
136	128	342	2022-01-13	1
137	132	1096	2022-01-13	3
138	146	706	2022-01-13	3
139	178	1587	2022-01-13	8
140	190	989	2022-01-13	1
141	194	1512	2022-01-13	4
142	197	2112	2022-01-13	5
143	210	1258	2022-01-13	8
144	228	162	2022-01-13	9
145	9	4199	2022-01-14	9
146	17	4081	2022-01-14	9
147	48	3538	2022-01-14	5
148	73	3358	2022-01-14	2
149	116	2711	2022-01-14	3
150	167	1843	2022-01-14	2
151	170	137	2022-01-14	4
152	187	671	2022-01-14	7
153	200	797	2022-01-14	3
154	224	805	2022-01-14	7
155	9	2164	2022-01-15	1
156	14	2530	2022-01-15	1
157	26	3427	2022-01-15	5
158	33	3409	2022-01-15	7
159	66	4005	2022-01-15	5
160	70	3277	2022-01-15	5
161	82	3773	2022-01-15	6
162	87	3016	2022-01-15	4
163	92	3102	2022-01-15	10
164	132	1510	2022-01-15	8
165	133	1071	2022-01-15	5
166	172	1421	2022-01-15	5
167	173	1577	2022-01-15	9
168	185	382	2022-01-15	10
169	195	1921	2022-01-15	4
170	203	1141	2022-01-15	4
171	22	2913	2022-01-16	1
172	30	2637	2022-01-16	9
173	96	4322	2022-01-16	1
174	157	1563	2022-01-16	6
175	170	311	2022-01-16	9
176	210	549	2022-01-16	9
177	217	1018	2022-01-16	8
178	221	171	2022-01-16	5
179	45	3280	2022-01-17	3
180	45	3785	2022-01-17	1
181	70	4218	2022-01-17	5
182	72	4244	2022-01-17	10
183	73	2477	2022-01-17	9
184	77	4329	2022-01-17	6
185	157	1687	2022-01-17	6
186	166	889	2022-01-17	8
187	167	813	2022-01-17	7
188	227	1833	2022-01-17	5
189	72	3310	2022-01-18	7
190	108	4229	2022-01-18	4
191	115	2278	2022-01-18	6
192	147	910	2022-01-18	1
193	159	410	2022-01-18	9
194	220	490	2022-01-18	8
195	226	2093	2022-01-18	10
196	47	3005	2022-01-19	6
197	92	3565	2022-01-19	8
198	93	3558	2022-01-19	2
199	131	1478	2022-01-19	8
200	159	123	2022-01-19	10
201	165	1092	2022-01-19	6
202	208	2099	2022-01-19	4
203	214	639	2022-01-19	8
204	220	1224	2022-01-19	5
205	224	1401	2022-01-19	1
206	224	778	2022-01-19	10
207	5	2308	2022-01-20	8
208	38	4252	2022-01-20	9
209	78	4298	2022-01-20	8
210	100	2774	2022-01-20	1
211	104	3795	2022-01-20	1
212	110	2885	2022-01-20	6
213	120	3231	2022-01-20	10
214	132	1691	2022-01-20	4
215	152	460	2022-01-20	10
216	180	579	2022-01-20	4
217	48	2882	2022-01-21	4
218	92	2775	2022-01-21	7
219	149	882	2022-01-21	8
220	152	1185	2022-01-21	6
221	223	2139	2022-01-21	9
222	2	3630	2022-01-22	9
223	20	3907	2022-01-22	8
224	20	3493	2022-01-22	8
225	24	2347	2022-01-22	4
226	25	3885	2022-01-22	4
227	51	2872	2022-01-22	9
228	104	3279	2022-01-22	5
229	105	2311	2022-01-22	4
230	121	2543	2022-01-22	2
231	168	2084	2022-01-22	5
232	221	2101	2022-01-22	3
233	30	4299	2022-01-23	2
234	46	3395	2022-01-23	4
235	47	2566	2022-01-23	2
236	63	4360	2022-01-23	6
237	85	3550	2022-01-23	1
238	107	2665	2022-01-23	4
239	136	921	2022-01-23	7
240	165	1767	2022-01-23	8
241	170	1674	2022-01-23	10
242	174	254	2022-01-23	7
243	28	2919	2022-01-24	1
244	35	3059	2022-01-24	1
245	74	4376	2022-01-24	7
246	154	791	2022-01-24	9
247	212	1197	2022-01-24	6
248	227	900	2022-01-24	10
249	2	4043	2022-01-25	6
250	22	4045	2022-01-25	4
251	41	3934	2022-01-25	10
