t_no	c_no	t_x	t_y	t_name
1	1	245	159	철원
2	1	632	484	평창
3	1	571	263	인제
4	1	386	311	춘천
5	1	833	446	강릉
6	1	919	617	삼척
7	1	402	572	원주
8	1	638	126	고성
9	2	437	554	수원
10	2	319	334	고양
11	2	298	259	파주
12	2	471	305	의정부
13	2	590	344	남양주
14	2	583	542	용인
15	2	364	654	평택
16	2	833	524	여주
17	2	766	537	이천
18	2	633	189	포천
19	2	791	433	양평
20	2	755	258	가평
21	2	634	465	광주
22	3	478	267	은평
23	3	752	499	강남
24	3	297	369	강서
25	3	776	187	노원
26	4	743	257	계양
27	4	681	424	부평
28	4	711	529	남동
29	4	391	509	연수
30	4	419	416	미추홀
31	4	312	168	강화군
32	5	427	141	당진
33	5	331	187	서신
34	5	382	313	홍성
35	5	480	207	예산
36	5	451	623	서천
37	5	688	409	광주
38	6	766	599	금남
39	6	505	412	장군
40	6	366	234	연서
41	6	328	113	전동
42	7	357	295	유성구
43	7	692	212	대덕구
44	7	768	428	동구
45	7	562	471	중구
46	7	354	557	서구
47	8	442	175	충주
48	8	415	637	영동
49	8	815	188	단양
50	8	248	225	진천
51	8	441	294	괴산
52	9	564	258	안동
53	9	251	468	김천
54	9	884	142	울진
55	9	835	495	포항
56	9	305	194	문경
57	9	800	613	경주
58	10	384	523	달성군
59	10	554	247	서구
60	10	672	263	중구
61	10	656	243	남구
62	10	815	291	수성구
63	10	851	155	동구
64	10	622	152	북구
65	10	441	292	달서구
66	11	490	331	의령
67	11	667	646	거제
68	11	473	519	고성
69	11	320	141	거창
70	11	667	376	창원
71	11	241	447	하동
72	11	400	223	합천
73	11	777	400	김해
74	12	458	304	울주군
75	12	625	294	중구
76	12	828	239	북구
77	12	707	387	남구
78	12	915	378	동구
79	14	457	160	익산
80	14	541	592	순창
81	14	863	262	무주
82	14	220	573	고창
83	14	583	302	전주
84	14	760	401	장수
85	15	812	264	순천
86	15	264	545	진도
87	15	880	173	구례
88	15	408	145	영광
89	15	773	526	고흥
90	16	338	294	광산구
91	16	542	425	서구
92	16	722	252	북구
93	16	609	554	남구
94	16	823	475	동구
95	17	549	576	서귀포
96	17	632	208	제주
