w_day	w_temperature	w_humidity	w_state
2022-01-01	-10	29	1
2022-01-02	4	41	1
2022-01-03	-5	18	1
2022-01-04	-3	59	2
2022-01-05	-5	50	2
2022-01-06	0	37	1
2022-01-07	1	29	1
2022-01-08	-8	58	2
2022-01-09	-3	33	1
2022-01-10	5	58	2
2022-01-11	-8	19	1
2022-01-12	1	23	1
2022-01-13	2	66	2
2022-01-14	0	100	4
2022-01-15	-3	40	1
2022-01-16	3	81	3
2022-01-17	1	10	1
2022-01-18	5	47	1
2022-01-19	-7	26	1
2022-01-20	-4	100	4
2022-01-21	5	44	1
2022-01-22	-9	65	2
2022-01-23	5	94	3
2022-01-24	-8	92	4
2022-01-25	-4	46	1
2022-01-26	5	88	3
2022-01-27	-5	45	1
2022-01-28	4	31	1
2022-01-29	-8	23	1
2022-01-30	-7	17	1
2022-01-31	5	56	2
2022-02-01	-10	92	4
2022-02-02	-9	72	2
2022-02-03	0	73	2
2022-02-04	-1	89	4
2022-02-05	-10	74	2
2022-02-06	-5	66	2
2022-02-07	1	95	4
2022-02-08	-7	53	2
2022-02-09	-1	42	1
2022-02-10	-7	98	4
2022-02-11	-6	41	1
2022-02-12	3	84	3
2022-02-13	-1	62	2
2022-02-14	-10	49	1
2022-02-15	4	100	3
2022-02-16	15	41	1
2022-02-17	14	97	3
2022-02-18	11	92	3
2022-02-19	13	10	1
2022-02-20	14	40	1
2022-02-21	14	65	2
2022-02-22	14	52	2
2022-02-23	12	58	2
2022-02-24	13	87	3
2022-02-25	11	20	1
2022-02-26	12	63	2
2022-02-27	12	63	2
2022-02-28	15	48	1
2022-03-01	13	62	2
2022-03-02	14	64	2
2022-03-03	15	86	3
2022-03-04	15	18	1
2022-03-05	11	98	3
2022-03-06	22	67	2
2022-03-07	18	78	2
2022-03-08	21	68	2
2022-03-09	22	39	1
2022-03-10	16	60	2
2022-03-11	17	47	1
2022-03-12	17	37	1
2022-03-13	19	49	1
2022-03-14	19	56	2
2022-03-15	22	23	1
2022-03-16	18	19	1
2022-03-17	19	19	1
2022-03-18	17	37	1
2022-03-19	19	57	2
2022-03-20	19	86	3
2022-03-21	21	16	1
2022-03-22	16	77	2
2022-03-23	19	37	1
2022-03-24	17	90	3
2022-03-25	20	21	1
2022-03-26	18	30	1
2022-03-27	22	65	2
2022-03-28	20	74	2
2022-03-29	18	40	1
2022-03-30	20	86	3
2022-03-31	16	95	3
2022-04-01	21	20	1
2022-04-02	23	13	1
2022-04-03	16	50	2
2022-04-04	23	85	3
2022-04-05	18	53	2
2022-04-06	15	42	1
2022-04-07	20	90	3
2022-04-08	17	76	2
2022-04-09	24	29	1
2022-04-10	25	91	3
2022-04-11	21	95	3
2022-04-12	19	61	2
2022-04-13	18	79	2
2022-04-14	18	98	3
2022-04-15	24	86	3
2022-04-16	21	62	2
2022-04-17	21	75	2
2022-04-18	15	76	2
2022-04-19	16	90	3
2022-04-20	15	60	2
2022-04-21	20	27	1
2022-04-22	15	88	3
2022-04-23	21	64	2
2022-04-24	22	38	1
