m_no	g_no	m_rating	m_show	m_grade	m_name	m_content
1	6	12세	1	8.8	닥터 스트레인지-대혼돈의 멀티버스	끝없이 균열되는 차원과 뒤엉킨 시공간의 멀티버스가 열리며 오랜 동료들, 그리고 차원을 넘어 들어온 새로운 존재들을 맞닥뜨리게 된 ‘닥터 스트레인지’. 대혼돈 속, 그는 예상치 못한 극한의 적과 맞서 싸워야만 하는데….
2	8	12세	1	4.5	UMMA-엄마	미국의 한 외딴 농장에서 딸 '크리스'와 단둘이 평온하게 살아오던 '아만다'. 어느 날, 그녀의 앞에 한국에서 죽은 엄마의 유골이 도착하고 그때부터 정체불명의 현상이 일어나기 시작한다.
3	5	12세	1	8.6	민스미트 작전	제2차 세계대전의 판도를 바꿀 단 한 번의 기회! 우리는 이 전쟁의 승기를 잡을 것이다! 사상 최대의 인명 피해를 낳은 제2차 세계대전, 연합군과 추축군은 전쟁을 승리로 이끌 교두보 시칠리아를 두고 팽팽한 대립을 펼친다. 하지만, 추축군 독일의 위세가 상당해 시칠리아에는 이미 추축군 병력 무려 23만 명이 주둔해 있던 상황! 연합군은 해군 정보장교 ‘이웬 몬태규’와 ‘찰스 첨리’를 주축으로 전쟁의 승기를 잡을 단 한 번의 ‘민스미트 작전’을 계획하는데…
4	1	전체	1	8.9	배드 가이즈	작전 설계부터 금고 해제, 해킹, 액션, 위장까지 완벽한 팀플레이를 펼치는 자타공인 최고의 나쁜 녀석들이 한순간의실수로 체포된다. 하지만 그들도 착해질 수 있다는 ‘마멀레이드 박사’의 주장으로 나쁜 녀석들은 바른 생활 갓생 프로젝트에 투입되고, 이들은 다시 한번 자유의 몸을 위해 태어나 처음으로 바른 생활에 도전하게 되는데… 
5	1	15세	1	9.4	극장판 주술회전 0	어릴 적 소꿉친구인 오리모토 리카를 교통사고로 눈앞에서 잃은 옷코츠 유타. “약속해, 리카와 유타는 어른이 되면 결혼하기로” 옷코츠는 원령으로 변한 리카의 저주에 괴로워한 나머지, 자신도 죽기를 바라지만 최강의 주술사인 고죠 사토루에 의해 주술고전에 들어가게 된다. 그리고 동급생인 젠인마키, 이누마키 토게, 판다를 만나면서 굳은 결심을 한다. “살아도 된다는 자신감이 필요해” “나는 주술고전에서 리카의 저주를 풀겠습니다” 한편, 옷코츠와 친구들 앞에 과거에 일반인을 대량으로 학살해서 고전에서 추방된 최악의 주저사인 게토 스구루가 나타난다. “12월 24일, 우리는 백귀야행을 결행한다” 주술사만의 낙원을 만들려는 게토는 비술사를 섬멸하겠다면서, 신주쿠와 교토에 천의 저주를 내리는데…과연 옷코츠는 게토를 막을 수 있을까? 그리고리카의 저주를 풀 수 있을까?
6	13	청불	1	8.4	파리, 13구	화려함 속에 가려진 외로운 도시, 파리 13구. 낭만을 잃었다 생각한 그 곳에서 불현듯 사랑을 만났다. 사랑을 원하는 에밀리 사랑이 두려운 노라 사랑이 값비싼 앰버 스위트 사랑을 몰랐던 카미유 흔들리고 불안했던 그 사랑이, 우리는 전부라 생각했다.
7	13	15세	1	8.9	우연과 상상	“마법보다 더 불확실한 걸 믿어볼 생각 있어?” ‘메이코’는 집으로 돌아가는 택시 안에서 친구에게 새로운 연애 상대 이야기를 듣는다.  여대생 ‘나오’는 교수 앞에서 그가 쓴 소설의 일부를 낭독한다.  20년 만에 고향을 찾은 ‘나츠코’는 그토록 만나고 싶던 동창생과 재회한다. 우연이 만들어내는, 조용히 아주 크게 움직이는 인생의 순간들이 있다. 이 영화는 그에 대한 상상의 결과물이다.
8	5	전체	1	6.0	어부바	부산 해안가 포구의 멋쟁이 ‘어부바호’ 선장 종범은 철없는 동생의 느닷없는 결혼 선언과 늦둥이 아들의 첫사랑, 친구들과의 우정까지 사랑하는 가족을 지키기 위해 하루하루 고군분투한다. 그러던 어느 날 자신의 분신이자 아들 노마에게 엄마같은 존재인 ‘어부바호’가 빼앗길 위기에 처하게 되는데…
9	12	12세	1	8.1	신비한 동물들과 덤블도어의 비밀	1930년대, 제2차 세계대전에 마법사들이 개입하게 되면서 강력한 어둠의 마법사 그린델왈드의 힘이 급속도로 커진다. 덤블도어는 뉴트 스캐맨더에게 위대한 마법사 가문 후손, 마법학교의 유능한 교사, 머글 등으로 이루어진 팀에게 임무를 맡긴다. 이에 뉴트와 친구들은 머글과의 전쟁을 선포한 그린델왈드와 추종자들, 그의 위험한 신비한 동물들에 맞서 세상을 구할 거대한 전쟁에 나선다. 한편 전쟁의 위기가 최고조로 달한 상황 속에서 덤블도어는 더이상 방관자로 머물 수 없는 순간을 맞이하고, 서서히 숨겨진 비밀이 드러나는데	
10	5	15세	1	8.7	니 부모 얼굴이 보고 싶다	명문 한음 국제중학교 학생 ‘김건우’가 같은 반 친구 4명의 이름이 적힌 편지를 남긴 채, 의식불명 상태로 호숫가에서 발견된다. 병원 이사장의 아들 ‘도윤재’ 전직 경찰청장의 손자 ‘박규범’ 한음 국제중학교 교사의 아들 ‘정이든’ 그리고, 변호사 ‘강호창’(설경구)의 아들 ‘강한결’. 가해자로 지목된 아이들의 부모들은 자신의 권력과 재력을 이용해 사건을 은폐하려고 한다. 하지만, 담임 교사 ‘송정욱’(천우희)의 양심 선언으로 건우 엄마(문소리) 또한 아들의 죽음에 관한 진실을 알게 된다. 세상의 이목이한음 국제중학교로 향하고, 자신의 아이들을 지키기 위한 가해자 부모들의 추악한 민낯이 드러나는데…
11	9	15세	1	7.4	퍼스트 러브	왜 그녀는 아버지를 죽여야만 했나? 피투성이가 되어 강가를 걷고 있던 여대생이 체포된다. 살해된 사람은 그녀의 아버지. “동기는 그쪽에서 찾으세요.” 용의자 ‘칸나’의 도발적인 말은 세상을 떠들썩하게 만든다. 사건을 취재하는 상담 심리사 ‘유키’는 남편의 동생이자 변호사인 ‘카쇼’와 함께 그녀의 진짜 동기를 밝혀 내려 한다. 여러 차례 번복되는 진술에 농락당하며 진실이 왜곡되어 가는 가운데 유키는 칸나에게서 잊고 있던 자신의 과거를 떠올리게 되고, 마음속 깊은 곳에 숨겨두었던 ‘어떠한 기억’과 마주하게 되는데..
12	15	12세	1	9.2	뮤지컬 킹키부츠 라이브	폐업 위기의 구두공장을 물려받은 '찰리'는 우연히 하나부터 열까지 자신과 다른 ‘롤라’를 만나 공장을 일으켜 세울 빅 아이디어를 얻는다. 많이 찍어서 싸게 파는 보통 구두 대신 적게 만들어 비싸게 파는 틈새시장 공략! 80cm 남성용 부츠 ‘킹키부츠’가 바로 그 아이템이다. 둘은 ‘킹키부츠’를 완성해 패션쇼에 서기로 하지만, 신발끈 풀리듯 자꾸 작은 문제들이 생기고 마는데...
13	16	전체	1	8.5	나를 만나는 길	전 세계인에게 평화와 행복의 가르침을 남긴 이 시대의 스승 ‘틱낫한’ 스님 그가 프랑스 보르도 근교에 설립한 명상 공동체 ‘플럼 빌리지’ 아름다운 자연 속에서 함께 걷고, 먹고, 일하고, 차를 마시는 그곳에서 3년에 걸쳐 최초로 기록한 마음챙김의 일상
14	8	청불	1	8.9	크로스 더 라인	세계일주여행을 앞둔 어느 날 어디서나 마주칠 수 있을 것 같은 평범한 남자 ‘다니’는 식당에서 우연히 ‘밀라’를 만나고 평소와 다르게 일탈을 즐기며 낯선 밤을 보낸다. 그날 밤, ‘밀라’에게 이끌려 난생처음 문신을 새기고 집까지 따라가게 된 ‘다니’는 뜻하지 않은 사건에 휘말려 우발적으로 살인을 저지르고 만다. 아직 용의 선상에 오르지 않은 ‘다니’는 사람들을 피해 도심 속으로 숨어들지만, 지루한 드라마 같던 삶을 반전시킨 단 한 번의 실수는 계속해서 그를 벗어날 수 없는 악몽 속으로 끌고 가는데… 
15	15	전체	1	8.2	[콘서트&다이닝]피카소의 식탁	- 윤지원의 <예술가의 식탁> 시리즈는 명화, 라이브 첼로 연주, 해설이 함께하는 렉쳐 콘서트가 ‘요리’라는 키워드로 진행됩니다. 콘서트로 예술가들의 삶과 작품을 알아간 뒤, 공연과 연계되는 CINE de CHEF의 코스 요리를 함께 맛보실 수 있습니다. 음악과 미술, 요리를 동시에 맛보는 예술 미식 여행을 떠나보세요! 5월의 콘서트, <피카소의 식탁> 예술가들은 어떤 음식을 먹었을까요? 피카소, 로트렉, 에릭 사티, 에디뜨 피아프 등 20세기 초 파리 예술가들의 아지트인 몽마르트 카페 ‘라팡 아질(Lapin Agile)’을 중심으로 그곳에서 예술가들이 즐겨 먹었던 음식과 그들의 작품세계를 알아보는 시간을 선사합니다!
16	5	12세	1	8.3	소설의 신	중학교 때 작가로 데뷔했지만 작품이 좋지 않게 평가되면서 자신감을 잃은 고교생 소설가 ‘이치야’는 같은 반이면서 이미 유명한 히트 소설 작가인 ‘시이나’를 알게 된다. 어느 날 출판사 편집자는 두 사람이 협업하여 소설을 쓰면 베스트셀러가 될 것이라고 제안하고, 둘은 함께 글 쓰는 작업을 시작한다. 생각도 글 쓰는 방식도 전혀 다른 둘은 처음에는 트러블만 겪지만 점점 함께 창작을 하면서 서로를 이해하게 되고 이치야는 시이나의 비밀을 알게 되는데…
17	5	전체	1	9.2	동경 이야기	일본 도심 외곽에 사는 노부부가 동경에 살고 있는 자식들의 집을 방문한다. 처음에는 환영을 받았지만 시간이 지날수록 자식들은 바쁜 일상으로 노부부를 신경쓰지 못한다. 노부부는 동경에서 쓸쓸한 시간을 보내고 집으로 돌아갈 준비를 한다.	
18	1	전체	1	8.9	극장판 엉덩이 탐정-수플레 섬의 비밀	1년 내내 바람이 부는 ‘수플레 섬’에 괴도 유의 예고장이 도착했다! 그의 목표는 섬의 보물인 ‘바람의 길잡이’! 엉덩이 탐정과 브라운,  견공 경찰서 일행은 ‘수플레 섬’에 방문해 ‘루루’를 만난다. 늘 바깥 세상을 동경하는 ‘루루’는 하늘을 자유자재로 누비는 특별한 능력을 가지고 있다. 예고된 보름달이 뜨는 밤, 엉덩이 탐정 일행은 ‘바람의 길잡이’를 지키기 위해 나서는데… 엉덩이 탐정의 명추리가 빛나는 순간, 섬에 숨겨져 있던 비밀이 밝혀진다!
19	14	15세	1	9.1	날씨의 아이	“이제 비는 그치고, 우리의 세상이 빛나기 시작할 거야” 비가 그치지 않던 어느 여름날, 가출 소년 ‘호다카’는 수상한 잡지사에 취직하게 되고 비밀스러운 소녀 ‘히나’를 우연히 만난다. “지금부터 하늘이 맑아질 거야” 그녀의 기도에 거짓말 같이 빗줄기는 멈추고, 사람들의 얼굴에 환한 빛이 내려온다. “신기해, 날씨 하나에 사람들의 감정이 이렇게나 움직이다니” 하지만, 맑음 뒤 흐림이 찾아오듯 두 사람은 엄청난 세계의 비밀을 마주하게 되는데…	
20	14	전체	1	8.5	몬스터 아카데미	상위 1%의 천재들만 다니는 ‘크랜스턴 아카데미’ 그곳에 전학 온 괴짜 천재 소년 ‘대니’! 학교 최고의 엄친딸 ‘리즈’와 묘한 라이벌 신경전을 벌이며 아슬아슬한 학교생활을 이어간다. ‘대니’는 자신의 능력을 증명하기 위해 새로운 발명에 도전하던 중 무심코 다른 차원으로 통하는 포털을 열게 되고, 그곳에 봉인되어 있던 수많은 몬스터들이 학교를 뒤덮는데!
21	1	15세	0	9.0	극장판 귀멸의 칼날 - 무한열차편	혈귀로 변한 여동생 ‘네즈코’를 되돌리기 위해 귀살대가 된‘탄지로’!어둠속을 달리는 무한열차에서 승객들이 흔적 없이 사라진다는 소식에 ‘젠이츠’, ‘이노스케’와 함께 임무 수행을 위해 무한열차에 탑승한다. 그리고 그 곳에서 만난 귀살대 최강 검사 염주 ‘렌고쿠’! 이들은 무한열차에 숨어 있는 혈귀의 존재를 직감하고 모두를 구하기 위해 목숨을 건 혈전을 시작하는데…
22	6	15세	1	9.5	범죄도시 2	“느낌 오지? 이 놈 잡아야 하는 거” 가리봉동 소탕작전 후 4년 뒤, 금천서 강력반은 베트남으로 도주한 용의자를 인도받아 오라는 미션을 받는다. 괴물형사 ‘마석도’(마동석)와 ‘전일만’(최귀화) 반장은 현지 용의자에게서 수상함을 느끼고, 그의 뒤에 무자비한 악행을 벌이는 ‘강해상’(손석구)이 있음을 알게 된다. ‘마석도’와 금천서 강력반은 한국과 베트남을 오가며 역대급 범죄를 저지르는 ‘강해상’을 본격적으로 쫓기 시작하는데...
23	5	15세	0	7.6	봄날	한때는 잘나가던 큰형님 '호성'(손현주). 8년 만에 출소해 보니 남보다 못한 동생 '종성'(박혁권)은 애물단지 취급이고, 결혼을 앞둔 맏딸 '은옥'(박소진)과 오랜만에 만난 아들'동혁'(정지환)은 '호성'이 부끄럽기만 하다. 아는 인맥 다 끌어 모은 아버지 장례식에서 부조금을 밑천삼아 기상천외한비즈니스를 계획하며 제2의 전성기를 꿈꾸는데… 그런데…!  하필이면 세력 다툼을 하는 두 조직이 이곳에 함께 있는 것이 아닌가! 때마침 눈치라고는 1도 없는 '호성'의 친구 '양희'(정석용)가 술에 취해 오지랖을 부리는데...
24	5	12세	1	8.2	공기살인	봄이 되면 나타났다 여름이 되면 사라지는 죽음의 병. 공기를 타고 대한민국에 죽음을 몰고 온 살인무기의 실체를 밝히기 위한 그들의 사투. 증발된 범인, 피해자는 증발되지 않았다!
25	5	12세	1	8.1	매스	“해주고 싶은 얘기가 있어요” 돌이킬 수 없는 사건으로 아이를 잃은 두 부부의 슬픔, 분노, 절망, 후회가 폭발하는 111분의 마스터피스
26	16	전체	1	8.9	아치의 노래, 정태춘	한국 포크 역사상 가장 뜨거웠던 뮤지션 정태춘의 이야기가 펼쳐진다! 10대 가수상, 가요 사전심의 철폐운동 그리고 음악시장을 홀연히 떠나기까지 어디서도 들어보지 못한 노랫말과 서정적인 음율로 시대와 함께한 뮤지션 데뷔 40주년, 우리가 몰랐던 정태춘의 음악과 삶을 만나다!
27	16	12세	1	8.9	그대가 조국	대한민국은 민주공화국인가 검찰공화국인가 검찰의 칼날이 그대에게 향하지 않는다고 자신할 수 있는가 사냥이 시작됐다. 검찰이 던진 좌표를 따라 언론은 몰려들고 소문은 꼬리를 문다. 분노한 대중 앞에 검찰은 칼을 휘두른다. 저기 쫓기는 자는 누구인가. 그대가 아니라고 자신할 수 있는가.
28	17	15세	1	8.4	완벽한 축사를 준비하는 방법	PM 5:24 |  연애 거리두기 38일째, 소니아에게 문자를 보냈다. PM 6:56 |  소니아가 문자를 확인했다. PM 8:07 |  소니아의 답장은 여전히 없는데 눈치 없는 누나와 예비 매형이 내게 결혼식 축사를 부탁한다. 다양한 방법으로 축사를 망치고 모두의 원망을 듣는 나의 미래가 눈앞에 보이는 것만 같아 두렵다. 그나저나 소니아는 왜 문자 답장이 없을까? 연애가 복잡한 나! 사람들과 섞이기 어려운 너? 관계가 서툰 우리 모두를 위한 공감 로맨스♥
29	5	15세	1	8.8	허셀프	자신을 학대하던 남편과 이혼하고 홀로 어린 두 딸을 키우는 싱글맘 산드라. 임시 거처에 머물며 새로운 보금자리를 찾기 위해 노력하지만 집도 일도 구하기란 쉽지 않다. 이에 굴하지 않고 적은 비용으로 아이들과 함께 살 새로운 집을 짓기로 결심한다. 한편, 남편은 아이들의 양육권을 뺏기 위해 그녀를 고소하고 공무원들마저 그녀를 방해하기 시작하는데…
30	5	12세	1	7.8	스프링 블라썸	“이번에 맞이한 봄은 어딘가 달라요” 반복되는 일상에 싫증이 난 수잔은 극장 앞에서 연극배우 라파엘을 만난다 함께 음악을 듣고 산책을 하며 조금씩 가까워지는 두 사람 모든 것이 따분했던 수잔에게 설렘과 함께 첫 번째 봄이 찾아오기 시작했다.
31	5	전체	1	9.2	안녕하세요	미노루와 이사무 형제는 옆집 젊은 부부의 집에 있는 TV로 스모 경기 보는 것을 좋아한다. TV가 부러운 형제는 아버지에게 TV를 사달라고 어리광을 부리지만 거절당한다. 형제는 TV 사달라는 시위로 '무언 시위'를 시작했고, 마을 어른들에게도 말을 하지 않아 이웃들 간에 오해가 쌓이게 되는데...
32	2	15세	0	7.1	서울괴담	어두운 터널을 홀로 지날 때의 두려움 옆집에서 들려오는 의문의 소리 중고 가구에 얽힌 미스터리 다른 사람을 향한 그릇된 질투 복수, 저주, 욕망에서 시작된 죽음보다 더한 공포의 실체가 찾아온다!
33	5	12세	0	8.5	소설가의 영화	여소설가가 잠적한 후배의 책방으로 먼 길을 찾아옵니다. 그리고 혼자 타워를 오르고 영화감독 부부를 만나고 공원을 산책하다 여배우를 만나게 되고, 여배우에게 당신과 영화를 만들고 싶다 설득을 합니다. 둘이 분식집에서 뭘 먹고, 다시 찾게 되는 후배의 책방에서 술자리가 깊어지고 여배우는 취해 잠이 드는데…
34	14	15세	0	8.7	오늘부터 우리는!!	1980년대. 난코 고등학교에서 전학한 것을 계기로 금발로 이미지 변신한 미즈하시 타카시는 같은 날에 전학을 온 가시 돋친 머리를 한 이토 신지와 만난다. 주위의 불량배들에게 눈총을 받지만, 뜻밖의 일로 의기투합한 두 사람은 함께 손을 잡고 잇달아 막아서는 강적을 쓰러뜨린다. 어느 날, 예전에 크게 싸웠던 이케히사 고등학교에 극악무도한 호쿠네이 고등학교가 덤벼드는데…
35	5	12세	0	8.2	스펜서	왕비가 되지 않고 자신의 이름을 찾기로 결심한 다이애나 왕세자비의 새로운 이야기
36	16	전체	0	7.4	허황옥 3일, 잃어버린 2천 년의 기억	역사학계가 2천 년 전 ‘인도 공주 허황옥’의 결혼 항해를 신화나 설화로 간주하면서 김해 김씨와 허씨 등 800여만 명의 후손들은 늘 뿌리가 흔들렸고, 가야사는 물론 가야불교의 시작도 수백 년 뒤로 밀려나 버렸다. 이 영화는 아직 한 번도 시도해 보지 않았던 삼국유사 ‘인도 공주 허황옥’의 3일간 신혼길 기록을 과학적인 방법으로 추적해 나가며 누구도 예측하지 못한 독특한 역사적 실체를 도출한다.
37	5	전체	0	8.9	만춘	소미야는 딸 노리코가 홀로가 된 본인 때문에 결혼하지 않을까 걱정한다. 소미야는 재혼하는 것처럼 노리코를 속여, 딸을 결혼시키고자 한다. 마침내 결혼을 하게 된 노리코는 아버지 소미야와 함께 단둘이 마지막 여행을 떠난다.
38	5	제한	0	8.8	오차즈케의 맛	아내 다에코는 검소하고 일밖에 모르는 남편 모키치를 답답해한다. 어느날 다에코와 모키치는 사소한 사건으로 크게 다투게 되고, 그 일로 다에코는 모키치에게 아무 말도 없니 친정으로 간다. 갑작스레 우루과이로 출장가게 된 모키치는 다에코에게 전보를 보내지만 답장이 없다.
39	5	12세	0	8.1	평평남녀	바쁜 회사일로 연애는 못하고 기막힌 아이디어는 까이기 일수 승진은 남의 이야기 열정만렙 33살 만년대리! 우리의 영블리 영진 어느 날, 능력은 없지만 빽은 있는 낙하산 준설이 그녀 앞에 떨어지고 하루도 평평할 날 없는 영진의 고달픈 일상이 시작되는데… 일도 사랑도 꼬여버린 할많하않 오피스 브이로그가 온다!
40	13	청불	0	8.1	로망스 돌	사랑 앞에서 헤매는 두 사람의 은밀한 비밀에 관한 이야기 "당신을 좋아하게 돼 버렸어요" 러브돌 전문가 '테츠오'(타카하시 잇세이)는 '소노코'(아오이 유우)에게 첫눈에 반한다. 하지만 자신의 직업을 그녀에게 밝히지 못한 채 결혼한 후에도 비밀을 품고 살아간다. 애틋하게 사랑했음에도, 시간이 지날수록 어딘가 어긋나기 시작하는 두 사람. 그러던 어느 날, '소노코'는 자신의 말할 수 없었던 비밀을 '테츠오'에게 털어놓는데...
41	2	15세	0	8.0	잭 인 더 박스	손잡이를 돌리면 갑자기 피에로가 튀어나와 사람들을 놀라게 하는 장난감인 잭 인 더 박스. 어느 날 장난감 박물관의 관리역을 맡게 된 '케이시'는 스산한 기분을 느끼게 하는 잭 인 더 박스를 보고 자기도 모르는 사이 손잡이를 돌린다. 그곳에서 튀어나온 것은 아이들 장난감이라고 부르기에는 너무나 소름 끼치는 피에로 인형. 이후 한번 열리기 시작한 ‘잭 인 더 박스’ 속의 인형은 끔찍한 크리쳐가 되어 접근하는 사람들을 하나 둘 상자 안으로 끌고 들어간다. ‘케이시’는 사람들이 하나씩 사라져가는 이유가 잭 인 더 박스의 저주임을 눈치채고 그에 얽힌 놀라운 비밀을 조사하게 되는데...
42	1	전체	0	8.6	토르-마법 검의 전설	용감한 빅은 아빠를 따라 언젠가 바이킹이 되어 바다를 나가고 싶어한다. 어느 날 빅의 아빠이자 바이킹 족장, 할바는 라이벌로부터 ‘마법의 검’을 훔치게 되고 황금으로 바꾸는 마법을 가진 검을 서로 갖고자 바이킹족은 한바탕 소동에 빠진다. 마법의 검에 의해 황금으로 굳어버린 엄마를 되찾기 위해 빅은 모험을 떠나게 되고 아스가르드로 향하는 중 신화 속 영웅 ‘토르’와 ‘로키’를 만나게 되는데…
43	16	전체	0	9.0	위대한 계약-파주, 책, 도시	책을 만들면 구속되던 시절 책의 유토피아를 꿈꾸는 이들이 있었다 이들의 꿈에 새로운 도시를 희망한 건축가들이 동참했다 위험한 계약이라 불리던 ‘위대한 계약’ 그리고 세계 어디에도 없던 도시의 탄생! 책과 영상과 예술의 문화 허브에서 새로운 미래를 펼치다!
44	1	전체	0	8.8	수퍼 소닉2	레벨 업! 초특급 히어로 소닉의 새로운 시대가 열린다 도시의 악당들을 물리치며 바쁘게 지구를 지키고 있는 초특급 히어로 ‘소닉’. 버섯 행성으로 쫓겨나 ‘소닉’에게 복수를 계획하던 천재 악당 ‘로보트닉’은 엄청난 힘을 지닌 신비의 에메랄드를 차지해 세상을 지배할 야망을 꿈꾸며 지구로 돌아온다! 최강 파워로 업그레이드된 ‘로보트닉’과 강력한 펀치 파워 ‘너클즈’의 공격에 속수무책으로 당하던 ‘소닉’은 하늘을 나는 꼬리를 가진 귀여운 파트너 ‘테일즈’의 도움으로 위기를 모면하게 되는데…
45	1	12세	0	8.5	언어의 정원	구두 디자이너를 꿈꾸는 고등학생 ‘다카오’는 비가 오는 날이면 도심의 정원으로 구두를 스케치하러 간다. 어느 날 그는 우연히 ‘유키노’라는 여인과 정원에서 만나게 되고, 예상치 못한 만남은 비가 오는 날이면 계속 이어진다. 그리고 비록 이름조차 모르지만 걷는 법을 잊어버린 그녀를 위해 ‘다카오’는 구두를 만들어 주기로 결심한다. 그러나 장마가 끝나갈 무렵, 그들 사이에는 뭔가 말하지 못한 것들이 남아 있는 듯한데…
46	16	전체	0	8.9	봉명주공	“곧 사라질 그곳을 기억하려는 사람들이 봉명주공을 찾아오기 시작한다” 1980년대에 지어진 청주 봉명동의 1세대 주공아파트, '봉명주공’ 철마다 형형색색으로 물드는 나무들, 놀이터에서 쉬어가는 새들과 골목을 지키는 길 고양이들, 곳곳에 울려 퍼지는 어린아이들의 웃음소리…
47	5	전체	0	7.9	애프터 양	함께 살던 안드로이드 인간 ‘양’이 어느 날 작동을 멈추자 제이크 가족은 그를 수리할 방법을 찾는다. 그러던 중, ‘양’에게서 특별한 메모리 뱅크를 발견하고 그의 기억을 탐험하기 시작하는데…
48	5	12세	0	8.0	안녕하세요(12세)	외로운 세상 속에서 죽음을 결심한 열아홉 수미(김환희). ‘죽는 법’을 알려주겠다는 수간호사 서진(유선)의 제안에 따라 늘봄 호스피스 병동을 찾아간다. 이 사람들이 곧 죽을 사람들이라고?! 예상치 못한 유쾌함과 따뜻함이 수미를 반기고, 하루하루를 소중히 살아가는 그들에게 점차 스며들며 세상의 온기를 배워가기 시작하는데…
