o_no	u_no	s_no	o_count	o_date
1	4	2	1	2022-04-10
2	1	5	5	2022-05-10
3	6	1	1	2022-04-28
4	5	4	2	2022-01-12
5	1	6	3	2022-04-09
6	5	1	5	2022-05-11
7	2	2	4	2022-03-19
8	8	10	1	2022-01-04
9	9	11	2	2022-02-19
10	2	12	3	2022-03-12
11	4	6	4	2022-04-01
12	8	15	1	2022-05-09
13	10	1	5	2022-02-03
14	2	14	2	2022-01-03
15	3	13	4	2022-04-29
16	7	11	3	2022-06-17
17	26	8	4	2022-08-15
18	4	4	1	2022-04-11
19	7	3	3	2022-10-23
20	9	1	1	2022-03-18
21	28	5	2	2022-01-15
22	1	2	5	2022-05-19
23	2	6	4	2022-06-28
24	17	8	1	2022-12-22
25	22	10	1	2022-06-02
26	4	13	3	2022-01-30
27	22	12	2	2022-07-09
28	3	2	3	2022-12-27
29	18	11	5	2022-01-09
30	19	11	1	2022-02-28
31	14	7	3	2022-09-21
32	28	11	2	2022-01-15
33	23	1	5	2022-05-31
34	27	12	2	2022-07-10
35	19	3	1	2022-10-21
36	14	3	1	2022-05-29
37	27	15	2	2022-05-20
38	30	13	1	2022-12-05
39	19	8	3	2022-03-18
40	2	1	1	2022-10-29
41	7	2	4	2022-09-29
42	30	11	4	2022-09-16
43	1	4	4	2022-08-19
44	10	3	3	2022-07-19
45	17	9	1	2022-01-12
46	26	14	1	2022-03-20
47	11	14	3	2022-01-22
48	16	1	5	2022-09-30
49	18	10	1	2022-01-29
50	14	4	1	2022-06-26
