r_no	u_no	r_division	sc_no	r_people	r_seat	r_date	r_time
1	4	1	1	2	B-10, B-09	2022-08-26	10:27
2	9	1, 2	3	3	D-03, D-01, D-04	2022-08-26	15:00
3	7	2	4	1	D-02	2022-08-27	16:12
4	5	1	7	4	E-02, E-01, F-01, F-02	2022-08-29	12:18
5	6	3	8	5	C-06, C-05, C-04, C-03, B-01	2022-08-26	18:59
6	7	1	9	1	A-10	2022-08-28	20:58
7	2	2	2	2	E-05, E-04	2022-08-28	13:57
8	9	2	1	1	F-02	2022-08-23	11:23
9	2	4	3	3	F-01, F-02, E-01	2022-08-29	11:19
10	1	1	4	5	B-06, B-05, B-04, B-03, B-02	2022-08-28	16:10
11	4	4	12862	1	D-07	2022-08-26	17:10	
12	24	4	16685	7	D-05, D-06, D-07, D-08, D-09, D-10, C-01	2022-08-29	21:10
13	20	2	20164	3	D-06, D-05, D-04	2022-08-24	18:11
14	4	1	16309	4	B-04, B-03, B-02, B-01, A-01	2022-08-26	09:53
15	21	3	13407	5	A-08, A-07, A-06, A-05, A-04	2022-08-26	08:56
16	7	1	3391	6	F-05, F-04, F-03, F-02, F-01, E-04	2022-08-29	09:58
17	21	1	2626	1	D-08	2022-08-24	21:33
18	20	1	4923	2	B-03, B-02	2022-08-29	04:01
19	8	1	14212	6	F-04, F-05, F-06, F-07, F-08, F-09	2022-08-26	15:51
20	25	3	19253	4	F-01, F-02, F-03, E-02	2022-08-27	00:04
21	23	1	11070	4	B-09, B-08, B-07, B-06	2022-08-24	20:03
22	8	4	3270	6	B-01, B-02, B-03, B-04, B-05, B-06	2022-08-25	09:54
23	26	3	15285	2	B-02, B-01	2022-08-28	10:01
24	9	2	12392	6	D-04, D-03, D-02, D-01, C-01, C-02	2022-08-29	10:01
25	22	1	13239	1	D-05	2022-08-26	14:25
26	7	2	7445	1	C-03	2022-08-28	20:12
28	8	3	20604	7	A-08, A-07, A-06, B-08, B-07, B-06, B-05	2022-08-26	09:47
29	22	3	8830	8	B-07, B-06, B-05, B-04, B-03, E-02, E-03, E-04	2022-08-24	09:28
30	24	1	8446	6	D-09, D-08, D-07, D-06, F-01, F-02	2022-08-25	17:28
31	1	2	16917	3	D-01, D-02, D-03	2022-08-29	04:03
32	26	4	412	2	B-04, B-05	2022-08-24	10:22
33	19	2	2837	4	F-03, F-02, A-01, A-02	2022-08-29	15:10
34	20	2	11557	3	F-04, B-02, B-03	2022-08-24	13:18
35	6	1	7348	8	A-01, A-02, A-03, B-02, B-03, B-04, F-01, F-02	2022-08-25	01:12
36	10	2	4032	4	E-06, E-05, B-04, A-03	2022-08-29	07:26
37	3	1	1817	1	F-05	2022-08-24	17:14
38	24	3	15456	6	C-10, C-09, C-08, C-07, A-01, A-02	2022-08-26	15:56
39	29	1	19893	1	B-07	2022-08-29	05:03
40	26	2	15674	3	F-08, F-07, F-06	2022-08-24	23:32
41	21	3	21137	5	A-01, A-02, A-03, D-02, D-03	2022-08-29	03:13
42	28	4	9537	7	D-05, D-04, D-03, D-02, F-01, F-02, F-03	2022-08-24	17:42
43	14	3	10704	4	E-09, E-08, E-07, E-06	2022-08-29	01:01
44	26	1	20369	1	A-08	2022-08-27	08:32
45	24	4	20273	3	B-05, B-04, B-03	2022-08-24	22:17
46	11	1	5419	3	E-09, E-08, E-07	2022-08-25	09:39
47	26	1	17720	7	B-08, B-07, B-06, B-05, B-04, B-03, B-02	2022-08-29	14:16
48	17	4	665	2	D-04, D-03	2022-08-24	11:37
49	16	2	12308	7	A-05, A-04, A-03, A-02, A-01, E-10, E-09	2022-08-29	10:52
50	26	1	653	1	C-03	2022-08-24	01:41
51	1	1	890	1	E-04	2022-08-29	09:36
52	3	4	13122	6	A-08, A-09, A-10, F-10, F-09, F-08	2022-08-27	09:43
53	3	1	2393	1	A-09	2022-08-24	21:09
55	24	3	5799	8	D-04, D-03, D-02, A-01, A-02, A-03, D-02, D-03	2022-08-25	13:27
56	16	4	4101	5	E-07, E-06, E-05, B-01, B-02	2022-08-25	08:42
57	14	1	13195	8	F-04, F-03, F-02, F-01, C-05, C-06, C-07, C-08	2022-08-29	14:50
58	18	3	4234	1	C-01	2022-08-25	01:46
59	3	4	553	3	E-01, E-05, E-06	2022-08-29	20:16
60	20	1	390	4	A-01, C-02, C-03, B-01	2022-08-29	10:54
61	26	4	14612	5	C-10, C-09, C-08, E-01, E-02	2022-08-28	20:47
62	22	2	1907	2	D-07, D-06	2022-08-24	05:34
63	13	1	557	4	F-05, F-04, F-03, F-02	2022-08-29	11:20
64	26	2	7397	7	C-09, C-08, C-07, A-02, A-03, A-04, B-01	2022-08-24	01:17
65	23	1	10352	8	D-05, D-04, D-03, D-02, D-01, F-07, F-08, F-09	2022-08-29	20:33
66	24	3	17177	1	E-08	2022-08-26	16:28
67	18	1	5365	5	F-10, F-09, F-08, C-01, C-02	2022-08-24	07:11
68	29	1	4250	6	E-09, E-08, E-07, E-06, D-01, D-02	2022-08-29	21:13
69	16	2	6568	1	F-09	2022-08-26	10:28
70	22	1	75	6	D-10, D-09, D-08, A-02, D-03, A-04	2022-08-24	15:30
71	25	4	12928	1	E-01	2022-08-28	10:45
72	27	2	1898	2	D-09, D-08	2022-08-29	01:57
73	25	1	11689	6	D-09, D-08, D-07, D-06, D-05, D-04	2022-08-29	09:18
74	15	1	9723	6	F-04, F-03, F-02, F-01, B-02, B-03	2022-08-27	10:01
75	1	1	4142	1	B-04	2022-08-29	12:31
76	22	1	4931	5	E-10, E-09, E-08, E-07, E-06	2022-08-29	01:27
77	12	3	18429	8	D-04, D-05, D-06, D-07, D-08, D-09, D-10, B-10	2022-08-28	09:18
78	4	1	110	1	C-08	2022-08-24	19:04
79	12	2	4504	6	C-03, C-02, C-01, F-01, F-02, F-03	2022-08-29	21:15
80	13	2	21100	2	C-02, C-01	2022-08-24	14:15
81	12	4	7636	7	C-02, C-03, C-04, E-02, E-03, E-04, E-05	2022-08-26	03:37
82	7	4	6986	1	C-05	2022-08-25	03:20
83	19	3	15103	3	A-03, A-02, A-01	2022-08-29	19:42
84	22	1	2491	6	B-08, B-07, B-06, B-05, B-04, B-03	2022-08-24	22:37
