sc_no	t_no	m_no	p_no	sc_theater	sc_date	sc_time
1	1	1	5	4관	 2022-08-30	20:40
2	1	1	5	4관	 2022-08-30	23:20
3	1	1	1	1관	 2022-08-30	20:00
4	1	1	1	1관	 2022-08-30	22:40
5	1	1	1	2관	 2022-08-30	20:20
6	1	1	1	2관	 2022-08-30	23:00
7	1	1	1	3관	 2022-08-30	19:40
8	1	1	1	3관	 2022-08-30	22:20
9	1	1	1	5관	 2022-08-30	21:00
10	1	1	1	5관	 2022-08-30	23:40
11	1	3	1	6관	 2022-08-30	23:10
12	1	9	1	6관	 2022-08-30	20:20
13	2	1	1	1관	 2022-08-30	21:50
14	2	1	3	4DX	 2022-08-30	20:20
15	2	1	1	2관	 2022-08-30	20:40
16	2	1	1	3관	 2022-08-30	20:00
17	2	1	1	3관	 2022-08-30	22:40
18	2	1	1	9관	 2022-08-30	19:20
19	2	1	1	9관	 2022-08-30	22:00
20	2	1	1	10관	 2022-08-30	21:20
21	2	2	1	8관	 2022-08-30	21:20
22	2	6	1	7관	 2022-08-30	21:50
23	2	10	1	6관	 2022-08-30	21:35
24	2	9	1	5관	 2022-08-30	20:50
25	2	29	1	6관	 2022-08-30	19:35
26	2	19	1	7관	 2022-08-30	21:00
27	3	1	1	1관	 2022-08-30	21:40
28	3	1	1	2관	 2022-08-30	19:35
29	3	1	1	2관	 2022-08-30	22:10
30	3	1	1	3관	 2022-08-30	21:00
31	3	1	1	5관	 2022-08-30	20:20
32	3	10	1	4관	 2022-08-30	20:00
33	4	1	5	1관	 2022-08-30	20:00
34	4	1	1	1관	 2022-08-30	22:40
35	4	1	1	2관	 2022-08-30	21:10
36	4	1	1	2관	 2022-08-30	23:50
37	4	1	1	3관	 2022-08-30	19:40
38	4	1	1	3관	 2022-08-30	22:20
39	4	1	1	4관	 2022-08-30	20:40
40	4	1	1	4관	 2022-08-30	23:20
41	4	1	1	5관	 2022-08-30	20:20
42	4	1	1	5관	 2022-08-30	23:00
43	4	1	1	6관	 2022-08-30	19:10
44	4	1	1	6관	 2022-08-30	21:50
45	4	2	1	10관	 2022-08-30	22:40
46	4	3	1	10관	 2022-08-30	20:00
47	4	4	1	7관	 2022-08-30	21:40
