s_no	s_name	s_explanation	s_price
1	스위트콤보	오리지널L + 탄산음료M2	9000
2	더블콤보	카라멜팝콘M+오리지널팝콘M+탄산음료M2	13000
3	즉석구이콤보	카라멜팝콘M+즉석구이(몸통or다리)+탄산음료M2	13500
4	콜라 M	콜라M	2500
5	콜라 L	콜라L	3000
6	사이다 M	사이다M	2500	
7	사이다 L	사이다L	3000
8	오리지널팝콘 M	오리지널팝콘M	4500
9	오리지널팝콘 L	오리지널팝콘L	5000
10	카라멜팝콘 M	카라멜팝콘M	5500
11	카라멜팝콘 L	카라멜팝콘L	6000
12	반반팝콘 L	반반팝콘(오리지널 + 카라멜)L	6000
13	포토카드(일반)	포토카드(일반)	1000
14	전국 생일 자랑 - 백현 포토카드	글로벌 케이팝 팬덤 플랫폼 'Whosfan'에서 진행한 '전국 생일 자랑' 투표에서 1위를 차지한 백현의 생일 포토카드 프레임입니다. 카드 앞면은 나만의 사진 추가, 뒷면은 원하는 문구를 입력할 수 있습니다.	2000
15	산리오 캐릭터즈 포토카드	카드 앞면은 산리오 캐릭터즈 템플릿 선택과 나만의 사진 추가, 뒷면은 원하는 문구를 입력할 수 있습니다.	2000
