t_no	a_no	t_name
1	1	강남
2	1	강변
3	1	건대입구
4	1	구로
5	2	경기광주
6	2	고양행신
7	2	광교
8	2	광교상현
9	2	광명역
10	2	구리
11	2	기흥
12	2	김포
13	2	김포운양
14	2	김포한강
15	3	계양
16	4	강릉
17	8	거제
18	8	경산
19	8	고성
20	8	구미
21	8	김천율곡
22	8	김해
23	8	김해율하
24	8	김해장유
25	9	광양
26	9	광양 엘에프스퀘어
27	9	광주금남로
28	9	광주상무
29	9	광주용봉
30	9	광주첨단
31	9	광주충장로
32	9	광주터미널
33	9	광주하남
34	9	군산
35	3	남주안
36	5	논산
37	9	나주
38	1	대학로
39	1	동대문
40	1	등촌
41	2	동백
42	2	동수원
43	2	동탄
44	2	동탄역
45	2	동탄호수공원
46	5	당진
47	5	대전
48	5	대전가수원
49	5	대전가오
50	5	대전탄방
51	5	대전터미널
52	6	대구수성
53	6	대구스타디움
54	6	대구아카데미
55	6	대구연경
56	6	대구월성
57	6	대구한일
58	6	대구현대
59	7	대연
60	7	동래
61	1	명동
62	1	명동역
63	1	목동
64	1	미아
65	8	마산
66	9	목포
67	9	목포평화광장
68	1	방학
69	1	불광
70	2	배곧
71	2	범계
72	2	부천
73	2	부천역
74	2	부천옥길
75	2	북수원
76	3	부평
77	5	보령
78	7	부산명지
79	8	북포항
80	1	상봉
81	1	성신여대입구
82	1	송파
83	1	수유
84	1	신촌아트레온
85	2	산본
86	2	서현
87	2	성남모란
88	2	소풍
89	2	수원
90	2	스타필드시티위례
91	2	시흥
92	3	송도타임스페이스
93	5	서산
94	5	세종
95	7	서면
96	7	서면삼정타워
97	7	서면상상마당
98	7	센텀시티
99	9	서전주
100	9	순천
101	9	순천신대
102	1	압구정
103	1	여의도
104	1	연남
105	1	영등포
106	1	왕십리
107	1	용산아이파크몰
108	2	안산
109	2	안성
110	2	야탑
111	2	양주옥정
112	2	역곡
113	2	오리
114	2	오산
115	2	오산중앙
116	2	용인
117	2	의정부
118	2	의정부태흥
119	2	이천
120	2	일산
121	3	연수역
122	3	인천
123	3	인천논현
124	3	인천도화
125	3	인천연수
126	3	인천학익
127	4	원주
128	4	원통
129	4	인제
130	5	유성노은
131	7	아시아드
132	7	울산동구
133	7	울산삼산
134	7	울산신천
135	7	울산진장
136	8	안동
139	8	양산삼호
140	9	여수웅천
141	9	익산
142	1	중계
143	2	정왕
144	2	죽전
145	3	주안역
146	5	제천
147	7	정관
148	8	진주혁신
149	9	전주고사
150	9	전주에코시티
151	9	전주효자
152	9	정읍
153	9	제주
154	9	제주노형
155	1	천호
156	1	청담씨네시티
157	3	청라
158	4	춘천
159	5	천안
160	5	천안시청
161	5	천안터미널
162	5	천안펜타포트
163	5	청주(서문)
164	5	청주성안길
165	5	청주율량
166	5	청주지웰시티
167	5	청주터미널
168	5	충북혁신
169	5	충주교현
170	8	창원
171	8	창원더시티
172	8	창원상남
173	8	통영
174	1	피카디리1958
175	2	파주문산
176	2	파주야당
177	2	판교
178	2	평촌
179	2	평택
180	2	평택고덕
181	2	평택소사
182	2	포천
183	8	포항
184	1	하계
185	1	홍대
186	2	하남미사
187	2	화성봉담
188	2	화정
189	5	홍성
190	7	하단아트몰링
191	7	해운대
192	7	화명
193	2	DRIVE IN 곤지암
194	3	DRIVE IN 스퀘어원
